dataset,batch_name,input_rows,input_sha256,codebook_version,codebook_sha256,prompt_version,prompt_sha256,schema_sha256,skill_sha256,model,reasoning_effort,codex_cli_version,attempt,return_code,status,error,completed_at_utc,token_input_tokens,token_cached_input_tokens,token_output_tokens,token_reasoning_output_tokens,metadata_path
production,annotator_batch_018.jsonl,75,48eb4a8d45bfd323ffbc3411d718010efe646ee30cb623058d95548b416d9600,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:46:40.774896+00:00,106275,79872,7496,4057,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_018/attempt_01_metadata.json
production,annotator_batch_019.jsonl,75,30e1e2d8183a8eb846a39bfdfeb9dde9ef73c2e8336ca7b6ff718062e3892a20,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:48:42.707029+00:00,101351,80384,5996,2654,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_019/attempt_01_metadata.json
production,annotator_batch_020.jsonl,75,02da5b0d137a35f36eef549c7653babc5e67270f5a8449e4248601c6f5f34ca4,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:51:28.354249+00:00,105242,80384,8686,5251,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_020/attempt_01_metadata.json
production,annotator_batch_021.jsonl,75,242e71549527c047d8c7330465c857d56b9fbbef87e9c8a0714f471e853e568b,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:53:49.240791+00:00,100515,79872,7088,3780,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_021/attempt_01_metadata.json
production,annotator_batch_022.jsonl,75,034940856e23ba2db99d2f29d948e1ec486da25524545682028940be7aa9ec8c,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:55:57.226501+00:00,152825,105472,6268,2763,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_022/attempt_01_metadata.json
production,annotator_batch_023.jsonl,75,ac44f85caa1b6ee73bc00a710c0c55ce51964e2db4258a90a0948b325b50bed6,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:57:59.674925+00:00,108772,88576,6210,2848,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_023/attempt_01_metadata.json
production,annotator_batch_024.jsonl,75,f1304a9a7ebf3b4cf32a576834e8042b8d25a9168520539551f8bb766f573f47,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:59:59.329903+00:00,110192,88576,6121,2684,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_024/attempt_01_metadata.json
production,annotator_batch_025.jsonl,75,a895167719c8a5e482bbbe820d14f7a8b21a40cd7ef6496fb4ade455795d2015,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T17:03:01.289287+00:00,129983,93184,6566,3176,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_025/attempt_01_metadata.json
production,annotator_batch_026.jsonl,75,36dc2372348b6106bfd9bd22e55995f3579a8e76ace3521b4a19acce168ce7e0,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T17:05:06.306748+00:00,163537,133632,5943,2414,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_026/attempt_01_metadata.json
production,annotator_batch_027.jsonl,50,a89667d755b40ec9ae5bcff599ad2bfc1c872fe0b4d8f35351c547cd93c2ceb0,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T17:06:45.967445+00:00,63613,48128,5051,2746,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_027/attempt_01_metadata.json
