lsc_year,analysis_unit,predicted_derived_frame,contexts,unit_year_total_contexts,pct_within_unit_year,clear_frame_contexts,pct_within_clear_frames,share_ci_low,share_ci_high,fitted_share,bootstrap_repetitions,bootstrap_unit
2017,Autism,lived_only,1368,7021,0.1948440393106395,3352,0.4081145584725537,0.3877860860162611,0.430133780590398,0.3761961062791999,500,doc_id
2018,Autism,clinical_only,1959,6522,0.3003679852805888,3198,0.6125703564727955,0.592085802065974,0.634360678345359,0.6179520878832983,500,doc_id
2018,Autism,lived_only,1239,6522,0.18997240110395583,3198,0.3874296435272045,0.36563932165464097,0.4079141979340259,0.38204791211670175,500,doc_id
2019,Autism,clinical_only,1717,5829,0.29456167438668723,2908,0.5904401650618982,0.5658157547259031,0.6184511685965715,0.6121002820457964,500,doc_id
2019,Autism,lived_only,1191,5829,0.20432321152856409,2908,0.4095598349381018,0.3815488314034286,0.434184245274097,0.3878997179542036,500,doc_id
2020,Autism,clinical_only,1532,5302,0.2889475669558657,2596,0.5901386748844376,0.5681348201850014,0.6124610730813729,0.6062484762082946,500,doc_id
2020,Autism,lived_only,1064,5302,0.2006789890607318,2596,0.4098613251155624,0.38753892691862707,0.43186517981499856,0.3937515237917054,500,doc_id
2021,Autism,clinical_only,1413,5014,0.2818109293976865,2407,0.5870378063980058,0.5610682650691821,0.6122328899637244,0.6003966703707928,500,doc_id
2021,Autism,lived_only,994,5014,0.19824491424012763,2407,0.4129621936019942,0.3877671100362757,0.43893173493081794,0.39960332962920725,500,doc_id
2022,Autism,clinical_only,1175,4182,0.2809660449545672,2086,0.5632790028763183,0.5339202583388455,0.5927876629468555,0.5945448645332909,500,doc_id
2022,Autism,lived_only,911,4182,0.21783835485413677,2086,0.4367209971236817,0.4072123370531445,0.4660797416611545,0.4054551354667091,500,doc_id
2023,Autism,clinical_only,1092,3507,0.31137724550898205,1779,0.6138279932546374,0.5851276635559892,0.6434547728391011,0.588693058695789,500,doc_id
2023,Autism,lived_only,687,3507,0.1958939264328486,1779,0.38617200674536256,0.3565452271608988,0.41487233644401084,0.4113069413042109,500,doc_id
2024,Autism,clinical_only,900,3138,0.28680688336520077,1551,0.5802707930367504,0.5487004241357234,0.6137256374026747,0.5828412528582873,500,doc_id
2024,Autism,lived_only,651,3138,0.2074569789674952,1551,0.4197292069632495,0.3862743625973252,0.45129957586427655,0.41715874714171275,500,doc_id
2025,Autism,clinical_only,1044,4519,0.23102456295640628,1790,0.5832402234636872,0.5540210493836499,0.6114214912021729,0.5769894470207854,500,doc_id
2025,Autism,lived_only,746,4519,0.16508077008187652,1790,0.41675977653631285,0.3885785087978271,0.4459789506163501,0.42301055297921464,500,doc_id
2026,Autism,clinical_only,382,1222,0.31260229132569556,632,0.6044303797468354,0.5549302596875634,0.6503613566110845,0.5711376411832836,500,doc_id
2026,Autism,lived_only,250,1222,0.20458265139116202,632,0.39556962025316456,0.3496386433889155,0.4450697403124366,0.42886235881671647,500,doc_id
