lsc_year,analysis_unit,frame_stratum,score,ci_low,ci_high,measure,method_key,method_family,method_label,score_2014,score_delta,ci_low_delta,ci_high_delta,fitted_delta
2018,ADHD,substantive_core_overall,0.1315408646304822,0.1252299450510963,0.1381966930769052,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.006875154551343909,-0.013186074130729808,-0.0002193261049208972,-0.007351338429284204
2019,ADHD,substantive_core_overall,0.1224742863360708,0.1150436127912032,0.1294184944061203,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.015941732845755313,-0.023372406390622907,-0.008997524775705812,-0.00938882977335631
2020,ADHD,substantive_core_overall,0.1242590782751955,0.1171928461230398,0.1306428837819218,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.01415694090663061,-0.021223173058786307,-0.0077731353999043185,-0.011426321117428417
2021,ADHD,substantive_core_overall,0.1303864679595884,0.1232482296567179,0.1369949188822571,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.008029551222237724,-0.015167789525108208,-0.001421100299569017,-0.013463812461500524
2022,ADHD,substantive_core_overall,0.1195016341138751,0.1131443130037799,0.1254899188512935,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.01891438506795101,-0.025271706178046208,-0.012926100330532597,-0.015501303805572617
2023,ADHD,substantive_core_overall,0.1254920298042569,0.1171713047218533,0.1327273112806187,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.012923989377569223,-0.021244714459972808,-0.0056887079012074016,-0.017538795149644723
2024,ADHD,substantive_core_overall,0.1173397128438691,0.1096177646852198,0.1246161461304474,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.021076306337957013,-0.028798254496606307,-0.013799873051378711,-0.019576286493716816
2025,ADHD,substantive_core_overall,0.1160039246078931,0.1078603570251329,0.1251744253427559,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.022412094573933006,-0.03055566215669321,-0.013241593839070198,-0.021613777837788922
2026,ADHD,substantive_core_overall,0.1167721436380611,0.1035498796803079,0.1301514467474403,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.1384160191818261,-0.021643875543765012,-0.034866139501518206,-0.008264572434385803,-0.023651269181861015
2014,Autism,substantive_core_overall,0.6351804370753289,0.6304518313474158,0.6397149408960914,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,0.0,-0.0047286057279131155,0.004534503820762481,0.00848436594401658
2015,Autism,substantive_core_overall,0.6427503285518552,0.6362425671650436,0.6478239177949747,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,0.007569891476526314,0.0010621300897146746,0.012643480719645828,0.007061992473482159
2016,Autism,substantive_core_overall,0.6430503088335131,0.6373956775029026,0.6480960039518334,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,0.00786987175818421,0.002215240427573706,0.012915566876504525,0.005639619002947627
2017,Autism,substantive_core_overall,0.6432905682629042,0.6377507474291999,0.6481638772059581,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,0.008110131187575309,0.002570310353871008,0.012983440130629242,0.004217245532413094
2018,Autism,substantive_core_overall,0.6400367585567944,0.6343017241768574,0.6452115846767383,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,0.004856321481465531,-0.0008787128984715231,0.01003114760140944,0.0027948720618785616
2019,Autism,substantive_core_overall,0.6390002477851494,0.6330485286243319,0.6444947413358644,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,0.0038198107098205147,-0.0021319084509969777,0.009314304260535478,0.00137249859134414
2020,Autism,substantive_core_overall,0.6374786181895629,0.6309074934297041,0.6430348000370336,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,0.002298181114233966,-0.004272943645624805,0.00785436296170472,-4.987487919039246e-05
2021,Autism,substantive_core_overall,0.6353187995439635,0.6294835404681999,0.6414594470774135,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,0.00013836246863463408,-0.005696896607129021,0.0062790100020846396,-0.001472248349724925
2022,Autism,substantive_core_overall,0.6321344093982921,0.6248478437536579,0.6383358839619832,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,-0.0030460276770367667,-0.010332593321671024,0.003155446886654256,-0.0028946218202593466
2023,Autism,substantive_core_overall,0.6313045111811754,0.6234006735974222,0.6385985383823448,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,-0.0038759258941535313,-0.011779763477906657,0.0034181013070159194,-0.004316995290793879
2024,Autism,substantive_core_overall,0.6243949493377599,0.61536678050601,0.6319434556755434,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,-0.010785487737569044,-0.019813656569318883,-0.0032369813997854546,-0.005739368761328412
2025,Autism,substantive_core_overall,0.6205161816406506,0.6112169814246958,0.627960935557528,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,-0.014664255434678308,-0.02396345565063307,-0.00721950151780093,-0.007161742231862944
