lsc_year,analysis_unit,frame_stratum,term_role,target_group,breadth_mean_pairwise_cosine_distance,sampled_contexts,sampled_documents,sampled_domains,bootstrap_repetitions,bootstrap_unit,breadth_bootstrap_mean,breadth_ci_low,breadth_ci_high,available_contexts,markable_contexts,unmarkable_contexts,unmarkable_share,cap_applied,sampling_policy,top_domain,top_domain_share,small_cell_flag
2018,ADHD,substantive_core_overall,target,ADHD,0.6386816379670873,1553,1067,968,500,doc_id,0.6382477227862369,0.6294817550183497,0.6470263652762378,1633,1553,0,0.0,False,all_markable_target_contexts_no_comparators,bedford.gov.uk,0.010946555054732776,False
2019,ADHD,substantive_core_overall,target,ADHD,0.6525012638700596,1359,957,872,500,doc_id,0.6514202008781872,0.6430091582403036,0.6611788718179469,1441,1359,0,0.0,False,all_markable_target_contexts_no_comparators,themotivationhotel.com,0.008830022075055188,False
2020,ADHD,substantive_core_overall,target,ADHD,0.6338825046904315,1353,972,903,500,doc_id,0.633024287458396,0.6249035580046496,0.6420699086093773,1427,1353,0,0.0,False,all_markable_target_contexts_no_comparators,yourbrain.health,0.005912786400591279,False
2021,ADHD,substantive_core_overall,target,ADHD,0.6434329709130728,1337,941,854,500,doc_id,0.6432562680984042,0.63474219528686,0.6519219352006123,1407,1337,0,0.0,False,all_markable_target_contexts_no_comparators,suffolkfamilytherapy.com,0.008227374719521317,False
2022,ADHD,substantive_core_overall,target,ADHD,0.6388797724537797,1386,941,874,500,doc_id,0.6383572542802874,0.6296268749881532,0.6477617111579484,1479,1386,0,0.0,False,all_markable_target_contexts_no_comparators,healthyplace.com,0.010101010101010102,False
2023,ADHD,substantive_core_overall,target,ADHD,0.6342505035595123,1141,752,698,500,doc_id,0.6336332950456766,0.6220265352990423,0.6438686741179939,1208,1141,0,0.0,False,all_markable_target_contexts_no_comparators,turningwinds.com,0.014899211218229623,False
2024,ADHD,substantive_core_overall,target,ADHD,0.6205885661795063,1101,729,674,500,doc_id,0.6200481448953303,0.6094870658440084,0.6311595056596192,1171,1101,0,0.0,False,all_markable_target_contexts_no_comparators,substack.com,0.011807447774750226,False
2025,ADHD,substantive_core_overall,target,ADHD,0.6329554855599805,836,572,539,500,doc_id,0.6322526258185367,0.6187690638784848,0.6438043941329646,904,836,0,0.0,False,all_markable_target_contexts_no_comparators,brainhealthusa.com,0.014354066985645933,False
2026,ADHD,substantive_core_overall,target,ADHD,0.6312281161654507,403,259,242,500,doc_id,0.6289428440839335,0.6121366702974984,0.6451352565165901,424,403,0,0.0,False,all_markable_target_contexts_no_comparators,neurosity.co,0.017369727047146403,False
2014,Autism,clinical_only,target,Autism,0.6178663626475869,2502,1708,1203,500,doc_id,0.6176522525094837,0.6101978107822325,0.6243477921039033,2850,2502,0,0.0,False,all_markable_target_contexts_no_comparators,cnn.com,0.012390087929656275,False
