analysis_unit,lsc_year,frame_stratum,term_role,target_group,raw_form,sampled_contexts,sampled_documents,raw_form_context_share
ADHD,2026,mixed,target,ADHD,attention_deficit,3,3,0.07142857142857142
ADHD,2026,substantive_core_overall,target,ADHD,adhd,335,233,0.8312655086848635
ADHD,2026,substantive_core_overall,target,ADHD,attention_deficit,68,58,0.1687344913151365
Autism,2014,clinical_only,target,Autism,asd_disambiguated,42,37,0.016786570743405275
Autism,2014,clinical_only,target,Autism,autism,1833,1330,0.7326139088729017
Autism,2014,clinical_only,target,Autism,autism_spectrum,389,342,0.15547561950439648
Autism,2014,clinical_only,target,Autism,autistic,238,213,0.09512390087929656
Autism,2014,lived_only,target,Autism,asd_disambiguated,3,3,0.00253592561284869
Autism,2014,lived_only,target,Autism,autism,687,563,0.5807269653423499
Autism,2014,lived_only,target,Autism,autism_spectrum,111,101,0.09382924767540152
Autism,2014,lived_only,target,Autism,autistic,382,333,0.3229078613693998
Autism,2014,mixed,target,Autism,asd_disambiguated,3,3,0.005244755244755245
Autism,2014,mixed,target,Autism,autism,371,336,0.6486013986013986
Autism,2014,mixed,target,Autism,autism_spectrum,98,92,0.17132867132867133
Autism,2014,mixed,target,Autism,autistic,100,95,0.17482517482517482
Autism,2014,substantive_core_overall,target,Autism,asd_disambiguated,48,43,0.01128084606345476
Autism,2014,substantive_core_overall,target,Autism,autism,2891,2090,0.6794359576968273
Autism,2014,substantive_core_overall,target,Autism,autism_spectrum,597,518,0.14030552291421858
Autism,2014,substantive_core_overall,target,Autism,autistic,719,608,0.1689776733254994
Autism,2015,clinical_only,target,Autism,asd_disambiguated,37,34,0.019967620075553156
Autism,2015,clinical_only,target,Autism,autism,1338,1028,0.7220723151645979
Autism,2015,clinical_only,target,Autism,autism_spectrum,280,243,0.15110631408526715
Autism,2015,clinical_only,target,Autism,autistic,198,182,0.10685375067458176
Autism,2015,lived_only,target,Autism,asd_disambiguated,3,3,0.0031446540880503146
Autism,2015,lived_only,target,Autism,autism,585,480,0.6132075471698113
Autism,2015,lived_only,target,Autism,autism_spectrum,87,82,0.09119496855345911
Autism,2015,lived_only,target,Autism,autistic,279,240,0.29245283018867924
Autism,2015,mixed,target,Autism,asd_disambiguated,11,10,0.023454157782515993
Autism,2015,mixed,target,Autism,autism,299,273,0.6375266524520256
