analysis_unit,lsc_year,frame_stratum,available_contexts,markable_contexts_before_dedupe,markable_contexts,sampled_contexts,sampled_documents,sampled_domains,target_sentence_contexts,adjacent_contexts,top_domain,top_domain_share,unmarkable_contexts,duplicate_contexts_removed,unmarkable_share,cap_applied,sampling_policy,small_cell_flag
Autism,2024,mixed,315,315,287,287,229,215,286,1,aspect.org.au,0.024390243902439025,0,28,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2024,substantive_core_overall,1866,1866,1701,1701,1140,1022,1686,15,thetreetop.com,0.007054673721340388,0,165,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2025,clinical_only,1044,1044,949,949,634,513,946,3,beaminghealth.com,0.023182297154899896,0,95,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2025,lived_only,746,746,683,683,566,507,681,2,phoenix.org.uk,0.013177159590043924,0,63,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2025,mixed,357,357,323,323,273,246,322,1,momsacrossamerica.com,0.021671826625386997,0,34,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2025,substantive_core_overall,2147,2147,1955,1955,1326,1108,1949,6,goldstarrehab.com,0.011764705882352941,0,192,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2026,clinical_only,382,382,349,349,242,216,348,1,crossrivertherapy.com,0.07163323782234957,0,33,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2026,lived_only,250,250,221,221,170,162,221,0,phoenix.org.uk,0.02262443438914027,0,29,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2026,mixed,120,120,101,101,84,82,101,0,iatutah.com,0.0594059405940594,0,19,0.0,False,all_markable_target_contexts_no_comparators,False
Autism,2026,substantive_core_overall,752,752,671,671,453,410,670,1,crossrivertherapy.com,0.037257824143070044,0,81,0.0,False,all_markable_target_contexts_no_comparators,False
