lsc_year,analysis_unit,frame_stratum,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag
2024,Autism,clinical_only,900,592,6948,5583,5939,899,0.8547783534830167,0.9988888888888889,False
2024,Autism,lived_only,651,454,5269,4135,4424,651,0.8396280129056747,1.0,False
2024,Autism,mixed,315,229,2574,2075,2219,315,0.8620823620823621,1.0,False
2024,Autism,substantive_core_overall,1866,1140,14791,11793,12582,1865,0.8506524237712122,0.9994640943193998,False
2024,frustration,unframed_baseline,6881,5957,57193,45608,49316,6880,0.8622733551308727,0.9998546722860049,False
2024,loneliness,unframed_baseline,2207,1733,17977,14544,15438,2207,0.8587639761918007,1.0,False
2024,sadness,unframed_baseline,2341,1949,18322,14747,15587,2339,0.8507259032856676,0.9991456642460487,False
2025,ADHD,clinical_only,578,380,4040,3311,3513,569,0.8695544554455445,0.9844290657439446,False
2025,ADHD,lived_only,216,148,1633,1303,1383,212,0.8469075321494183,0.9814814814814815,False
2025,ADHD,mixed,110,92,813,655,691,108,0.8499384993849939,0.9818181818181818,False
2025,ADHD,substantive_core_overall,904,572,6486,5269,5587,889,0.8613937711995067,0.9834070796460177,False
2025,Autism,clinical_only,1044,634,8244,6681,7045,1044,0.8545608927704997,1.0,False
2025,Autism,lived_only,746,566,5333,4328,4559,746,0.85486592912057,1.0,False
2025,Autism,mixed,357,273,2887,2294,2425,357,0.8399722895739522,1.0,False
2025,Autism,substantive_core_overall,2147,1326,16464,13303,14029,2147,0.8521015549076774,1.0,False
2025,frustration,unframed_baseline,6928,5902,57053,45838,49463,6928,0.8669658037263597,1.0,False
2025,loneliness,unframed_baseline,1993,1566,15700,12536,13336,1993,0.8494267515923567,1.0,False
2025,sadness,unframed_baseline,1921,1581,14872,11940,12650,1921,0.8505917159763313,1.0,False
2026,ADHD,clinical_only,271,170,1986,1595,1701,271,0.8564954682779456,1.0,False
2026,ADHD,lived_only,109,76,846,679,730,109,0.8628841607565012,1.0,False
2026,ADHD,mixed,44,38,335,276,289,44,0.8626865671641791,1.0,True
2026,ADHD,substantive_core_overall,424,259,3167,2550,2720,424,0.8588569624250079,1.0,False
2026,Autism,clinical_only,382,242,3049,2490,2630,382,0.8625778943916038,1.0,False
2026,Autism,lived_only,250,170,2019,1566,1677,250,0.8306092124814265,1.0,False
2026,Autism,mixed,120,84,948,762,792,120,0.8354430379746836,1.0,False
2026,Autism,substantive_core_overall,752,453,6016,4818,5099,752,0.8475731382978723,1.0,False
2026,frustration,unframed_baseline,3851,3276,31823,26048,27915,3851,0.8771957389309619,1.0,False
2026,loneliness,unframed_baseline,719,573,5785,4759,5067,719,0.875885911840968,1.0,False
2026,sadness,unframed_baseline,657,550,5145,4132,4408,657,0.856754130223518,1.0,False
