lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_mean,valence_sd,arousal_mean_for_reuse,dominance_mean_for_reuse,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_bootstrap_mean,valence_ci_low,valence_ci_high
2017,ADHD,mixed,target,ADHD,0.0857805249343832,0.4814042922136902,0.011572677165354331,0.033997034120734904,635,348,152,187,153,714,635,655,185,0.9173669467787114,0.9893048128342246,False,500,doc_id,0.08468974164179956,0.0393024321065338,0.12948445920225488
2018,ADHD,mixed,target,ADHD,0.04512597222222222,0.4999343673988904,0.037151111111111114,0.04045805555555555,600,332,150,182,152,670,600,616,179,0.9194029850746268,0.9835164835164835,False,500,doc_id,0.044954790309193055,-0.022459151811693036,0.10657918410242748
2019,ADHD,mixed,target,ADHD,0.07650114560236512,0.48943879709749233,0.001697265336289728,0.03392753141167775,451,260,119,142,120,504,451,463,140,0.9186507936507936,0.9859154929577465,False,500,doc_id,0.074875311433329,0.01635596030921221,0.1300108794756508
2020,ADHD,mixed,target,ADHD,0.09725419871794871,0.48359012458332773,0.006530224358974359,0.07305926282051282,520,308,125,156,130,601,520,540,151,0.8985024958402662,0.967948717948718,False,500,doc_id,0.09876212257692003,0.04864180440144184,0.14949880786515596
2021,ADHD,mixed,target,ADHD,0.07206316976875353,0.4758994446142723,0.03848970671178793,0.04589481105470953,591,345,147,180,150,690,591,608,174,0.881159420289855,0.9666666666666667,False,500,doc_id,0.07259721127650119,0.022808742492005873,0.12504762197108715
2022,ADHD,mixed,target,ADHD,0.1669742902208202,0.4426956395786831,0.012886593059936908,0.10742326498422712,634,367,149,193,152,717,634,647,189,0.902370990237099,0.9792746113989638,False,500,doc_id,0.16661429163055788,0.12634213263667837,0.20801104413137747
2023,ADHD,mixed,target,ADHD,0.1424259088108441,0.47599604350015257,0.006851201478743071,0.05560720887245841,541,330,121,159,122,614,541,553,156,0.9006514657980456,0.9811320754716981,False,500,doc_id,0.14134628018206366,0.08492924323974023,0.19365070826260106
2024,ADHD,mixed,target,ADHD,0.14308528265107212,0.45562441623106376,-0.014559779077322935,0.10168486029889538,513,315,121,154,122,596,513,518,152,0.8691275167785235,0.987012987012987,False,500,doc_id,0.14184159479903766,0.09166641128072398,0.1880633614242742
2025,ADHD,mixed,target,ADHD,0.10827915578764143,0.46765010498627235,-0.0042837249782419476,0.0885491731940818,383,263,90,110,92,454,383,392,108,0.8634361233480177,0.9818181818181818,False,500,doc_id,0.10686761247666715,0.0510792857881137,0.15642129817629574
2026,ADHD,mixed,target,ADHD,0.16789927983539094,0.4224740840559642,-0.00030627572016460753,0.09965061728395061,162,117,38,44,38,190,162,165,44,0.868421052631579,1.0,True,500,doc_id,0.16587781890528858,0.08519632658926779,0.23513073486857972
2014,ADHD,substantive_core_overall,target,ADHD,0.07936805290821926,0.4858076302901048,0.018972107664760585,0.046039972852769596,5771,1482,1076,1779,1093,6595,5771,5942,1735,0.9009855951478393,0.9752670039347948,False,500,doc_id,0.07851664238483999,0.0632608946173135,0.09410209494945329
2015,ADHD,substantive_core_overall,target,ADHD,0.08731068505099301,0.48581874835269956,0.010809923510466989,0.04686314412238325,4968,1382,982,1547,993,5713,4968,5117,1512,0.8956765272186242,0.9773755656108597,False,500,doc_id,0.0873304733215361,0.06994620840788374,0.10559241261693869
2016,ADHD,substantive_core_overall,target,ADHD,0.066323648357068,0.49750799772164994,0.024314820294679736,0.0423038684421429,5407,1466,1092,1640,1098,6104,5407,5548,1607,0.9089121887287025,0.9798780487804878,False,500,doc_id,0.06656456989066058,0.04853152094574579,0.08295909360637511
2017,ADHD,substantive_core_overall,target,ADHD,0.06385127110421114,0.4882951608345857,0.026144032602367553,0.03763099812407012,5153,1420,1053,1589,1070,5910,5153,5327,1547,0.9013536379018613,0.973568281938326,False,500,doc_id,0.06309926563270708,0.04455757384094126,0.08261736328922126
2018,ADHD,substantive_core_overall,target,ADHD,0.056493241860745017,0.4997656216916068,0.029331263164229404,0.0342296593849672,5539,1470,1059,1633,1067,6256,5539,5676,1609,0.9072890025575447,0.9853031230863442,False,500,doc_id,0.05661133018277458,0.04040135121744954,0.07443827290647831
2019,ADHD,substantive_core_overall,target,ADHD,0.04362739702319141,0.5017042559231735,0.03209067151263413,0.02987375562478366,4815,1312,945,1441,957,5488,4815,4952,1415,0.902332361516035,0.9819569743233866,False,500,doc_id,0.042757897186922834,0.025956503256820886,0.0628995945759115
2020,ADHD,substantive_core_overall,target,ADHD,0.06197526916684731,0.49199288899926535,0.02923247705759087,0.039738864802370114,4613,1314,961,1427,972,5278,4613,4763,1387,0.9024251610458507,0.9719691660826909,False,500,doc_id,0.061627271180102625,0.04343266493716009,0.07994174471716048
2021,ADHD,substantive_core_overall,target,ADHD,0.052122116751990896,0.4984298097505297,0.02683821103526735,0.02263800483503982,4688,1376,936,1407,941,5299,4688,4824,1381,0.9103604453670504,0.9815209665955935,False,500,doc_id,0.05202180514725197,0.03238716919922214,0.07086391808760176
2022,ADHD,substantive_core_overall,target,ADHD,0.09705093716289105,0.48435156227293336,0.012519484897518878,0.05955946601941747,4944,1386,926,1479,941,5600,4944,5088,1443,0.9085714285714286,0.9756592292089249,False,500,doc_id,0.09741896935652421,0.07781612705101155,0.11512367641309074
2023,ADHD,substantive_core_overall,target,ADHD,0.0976069630733565,0.48063100966870737,0.02289047855605233,0.06363561020036429,4026,1213,745,1208,752,4542,4026,4109,1181,0.9046675473359753,0.9776490066225165,False,500,doc_id,0.09779396299387239,0.07784543401824306,0.11802175211109987
2024,ADHD,substantive_core_overall,target,ADHD,0.08510321356275304,0.48705361720468027,0.01796344466936572,0.06433332489878542,3952,1175,724,1171,729,4524,3952,4044,1148,0.8938992042440318,0.9803586678052946,False,500,doc_id,0.08554617293645776,0.06518799670814077,0.10484698562821672
2025,ADHD,substantive_core_overall,target,ADHD,0.10555036956069123,0.4728081714887901,0.02700330522590048,0.08068158442640018,3202,1061,562,904,572,3695,3202,3279,870,0.8874154262516915,0.9623893805309734,False,500,doc_id,0.10511967376185119,0.08152317607240399,0.12777735283539637
2026,ADHD,substantive_core_overall,target,ADHD,0.09051065281276238,0.4755849285779122,0.019801742233417297,0.08010903652392946,1588,664,258,424,259,1829,1588,1629,420,0.8906506287588847,0.9905660377358491,False,500,doc_id,0.09145141446491643,0.06010101327930007,0.12200962801163077
2014,Autism,clinical_only,target,Autism,0.10029683497308334,0.48157969655524513,0.01660467792834602,0.06494604139595322,10774,2041,1708,2850,1708,12440,10774,11041,2843,0.887540192926045,0.9975438596491228,False,500,doc_id,0.10044329985506607,0.08890830344288406,0.112867702794104
