analysis_unit,frame_stratum,collocate,occurrences,documents,arousal_warriner_mean,arousal_scaled_mean,valence_warriner_mean,source_terms,unit_frame_occurrences,collocate_share
Autism,clinical_only,help,423,387,4.29,0.41125,6.95,help,71954,0.005878755871806988
Autism,clinical_only,like,411,394,4.4,0.42500000000000004,7.44,like,71954,0.005711982655585513
Autism,clinical_only,learn,398,360,4.8,0.475,6.85,learn,71954,0.005531311671345582
Autism,clinical_only,schizophrenia,390,340,6.760000000000001,0.7200000000000001,3.42,schizophrenia,71954,0.005420129527197932
Autism,clinical_only,risk,374,322,6.429999999999999,0.67875,5.17,risk,71954,0.005197765238902632
Autism,clinical_only,symptom,371,348,4.17,0.39625,3.33,symptom,71954,0.005156071934847264
Autism,lived_only,child,1835,1534,5.21,0.52625,6.78,child|children,40739,0.04504283364834679
Autism,lived_only,people,1065,866,3.77,0.34625,5.7,people,40739,0.02614202606838656
Autism,lived_only,disorder,718,639,4.9,0.48750000000000004,3.76,disorder,40739,0.017624389405729152
Autism,lived_only,son,615,571,4.43,0.42874999999999996,6.909999999999999,son,40739,0.01509609956061759
Autism,lived_only,disability,509,470,3.9,0.3625,2.95,disability,40739,0.012494170205454232
Autism,lived_only,diagnose,459,438,3.72,0.34,5.0,diagnose,40739,0.011266845037924347
Autism,lived_only,year,429,391,3.33,0.29125,5.75,year,40739,0.010530449937406417
Autism,lived_only,old,400,367,4.48,0.43500000000000005,3.19,old,40739,0.009818601340239083
Autism,lived_only,adult,370,334,4.36,0.42000000000000004,5.9,adult,40739,0.009082206239721152
Autism,lived_only,family,362,337,4.35,0.41874999999999996,7.25,family,40739,0.00888583421291637
Autism,lived_only,individual,361,323,3.47,0.30875,6.17,individual,40739,0.008861287709565773
Autism,lived_only,support,359,311,3.0500000000000003,0.25625,6.89,support,40739,0.008812194702864576
Autism,lived_only,spectrum,356,328,3.05,0.25625,6.65,spectrum,40739,0.008738555192812783
Autism,lived_only,young,335,322,4.09,0.3862499999999999,6.31,young,40739,0.008223078622450232
Autism,lived_only,kid,324,295,5.2,0.525,6.8549999999999995,kid|kids,40739,0.007953067085593657
Autism,lived_only,awareness,317,260,3.7300000000000004,0.34125,6.45,awareness,40739,0.007781241562139473
Autism,lived_only,learn,315,291,4.8,0.475,6.85,learn,40739,0.007732148555438278
Autism,lived_only,syndrome,301,279,4.68,0.4599999999999999,4.33,syndrome,40739,0.00738849750852991
Autism,lived_only,need,300,281,3.67,0.33375,5.45,need,40739,0.007363951005179312
Autism,lived_only,help,298,286,4.29,0.41125,6.949999999999999,help,40739,0.007314857998478117
Autism,lived_only,parent,298,269,4.14,0.39249999999999996,6.73,parent,40739,0.007314857998478117
Autism,lived_only,work,276,257,4.33,0.41625,5.05,work,40739,0.006774834924764967
Autism,lived_only,student,273,236,4.25,0.40625,6.41,student,40739,0.0067011954147131745
Autism,lived_only,sensory,254,222,4.52,0.43999999999999995,6.15,sensory,40739,0.006234811851051817
