lsc_year,analysis_unit,frame_stratum,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag
2022,loneliness,unframed_baseline,2955,2372,11503,9538,9540,2932,0.8293488655133443,0.9922165820642977,False
2022,sadness,unframed_baseline,3768,3229,13777,11362,11362,3721,0.8247078464106845,0.9875265392781316,False
2023,ADHD,clinical_only,750,477,2845,2307,2308,721,0.8112478031634447,0.9613333333333334,False
2023,ADHD,lived_only,299,216,1083,847,847,291,0.7820867959372114,0.9732441471571907,False
2023,ADHD,mixed,159,122,614,494,494,153,0.8045602605863192,0.9622641509433962,False
2023,ADHD,substantive_core_overall,1208,752,4542,3648,3649,1165,0.8033905768383972,0.9644039735099338,False
2023,Autism,clinical_only,1092,678,4927,3861,3864,1078,0.7842500507408159,0.9871794871794872,False
2023,Autism,lived_only,687,470,2752,2193,2194,677,0.7972383720930233,0.9854439592430859,False
2023,Autism,mixed,372,283,1604,1263,1265,368,0.7886533665835411,0.989247311827957,False
2023,Autism,substantive_core_overall,2151,1286,9283,7317,7323,2123,0.7888613594743079,0.9869827986982799,False
2023,frustration,unframed_baseline,6377,5618,25082,20904,20906,6313,0.8335060999920262,0.9899639328838011,False
2023,loneliness,unframed_baseline,2588,1985,10339,8581,8582,2571,0.8300609343263372,0.9934312210200927,False
2023,sadness,unframed_baseline,2698,2288,10203,8267,8269,2672,0.8104479074781927,0.9903632320237212,False
2024,ADHD,clinical_only,704,457,2749,2244,2245,680,0.8166606038559476,0.9659090909090909,False
2024,ADHD,lived_only,313,227,1179,909,909,307,0.7709923664122137,0.9808306709265175,False
2024,ADHD,mixed,154,122,596,460,460,149,0.7718120805369127,0.9675324675324676,False
2024,ADHD,substantive_core_overall,1171,729,4524,3613,3614,1136,0.7988505747126436,0.9701110162254484,False
2024,Autism,clinical_only,900,592,4024,3191,3194,888,0.7937375745526839,0.9866666666666667,False
2024,Autism,lived_only,651,454,2714,2149,2149,635,0.7918201915991157,0.9754224270353302,False
2024,Autism,mixed,315,229,1405,1150,1151,313,0.8192170818505338,0.9936507936507937,False
2024,Autism,substantive_core_overall,1866,1140,8143,6490,6494,1836,0.7974947807933194,0.9839228295819936,False
2024,frustration,unframed_baseline,6881,5957,28404,23723,23725,6825,0.8352696803267146,0.9918616480162767,False
2024,loneliness,unframed_baseline,2207,1733,9162,7552,7554,2193,0.8244924688932548,0.993656547349343,False
2024,sadness,unframed_baseline,2341,1949,8943,7294,7294,2319,0.815609974281561,0.9906023067065357,False
2025,ADHD,clinical_only,578,380,2378,1924,1924,547,0.8090832632464255,0.9463667820069204,False
2025,ADHD,lived_only,216,148,863,661,661,203,0.7659327925840093,0.9398148148148148,False
2025,ADHD,mixed,110,92,454,360,360,108,0.7929515418502202,0.9818181818181818,False
