lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_warriner_mean,arousal_warriner_sd,arousal_scaled_mean,arousal_scaled_sd,valence_warriner_mean_for_reference,valence_scaled_mean_for_reference,dominance_warriner_mean_for_reference,matched_warriner_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_warriner_bootstrap_mean,arousal_warriner_ci_low,arousal_warriner_ci_high,arousal_scaled_bootstrap_mean,arousal_scaled_ci_low,arousal_scaled_ci_high
2020,ADHD,substantive_core_overall,target,ADHD,4.0794676487040835,0.7776857668885825,0.3849334560880105,0.09721072086107287,5.434895580831625,0.5543619476039531,5.39921405929517,5363,1094,964,1427,972,10257,5363,5366,1404,0.523154918592181,0.9838822704975473,False,500,doc_id,4.079543538130461,4.056030806724764,4.103434034083878,0.3849429422663077,0.3820038508405955,0.3879292542604847
2021,ADHD,substantive_core_overall,target,ADHD,4.107095911348873,0.795036251074231,0.3883869889186091,0.0993795313842789,5.375659151700421,0.5469573939625526,5.34133740924723,5234,1140,937,1407,941,10033,5234,5237,1387,0.5219774743346955,0.9857853589196873,False,500,doc_id,4.106718558745637,4.081934425361569,4.132651006907714,0.3883398198432047,0.38524180317019613,0.3915813758634641
2022,ADHD,substantive_core_overall,target,ADHD,4.066530575860225,0.805404099870449,0.38331632198252813,0.10067551248380617,5.45371724014976,0.55671465501872,5.4443697628810845,5609,1160,931,1479,941,10803,5609,5610,1459,0.5193001943904471,0.9864773495605138,False,500,doc_id,4.066473830607717,4.044466218679549,4.090040303201831,0.38330922882596463,0.3805582773349435,0.3862550379002289
2023,ADHD,substantive_core_overall,target,ADHD,4.089303668478261,0.7835951186866684,0.3861629585597826,0.09794938983583341,5.471235280797101,0.5589044100996376,5.4228702445652175,4416,1040,743,1208,752,8678,4416,4417,1176,0.5089882461396635,0.9735099337748344,False,500,doc_id,4.089605606470474,4.065287923944158,4.1142302592748345,0.3862007008088093,0.3831609904930198,0.3892787824093543
2024,ADHD,substantive_core_overall,target,ADHD,4.078620212275035,0.7869363729270841,0.3848275265343793,0.09836704661588548,5.458523304107061,0.5573154130133826,5.425952930318413,4334,997,717,1171,729,8407,4334,4335,1148,0.5156417271321517,0.9803586678052946,False,500,doc_id,4.078490790364036,4.051670461166609,4.104240441071166,0.3848113487955045,0.38145880764582607,0.3880300551338958
2025,ADHD,substantive_core_overall,target,ADHD,4.080023181686467,0.7691762953806466,0.3850028977108085,0.09614703692258086,5.421437264560997,0.5526796580701245,5.431750217328311,3451,931,562,904,572,6486,3451,3451,873,0.5320690718470552,0.9657079646017699,False,500,doc_id,4.079358059758328,4.04803874314444,4.1115751886194785,0.384919757469791,0.381004842893055,0.3889468985774348
2026,ADHD,substantive_core_overall,target,ADHD,4.045343822843823,0.756839329666311,0.3806679778554779,0.0946049162082889,5.385128205128205,0.5481410256410256,5.404970862470862,1716,594,258,424,259,3167,1716,1716,421,0.5418377012946005,0.9929245283018868,False,500,doc_id,4.043397493873362,4.002347390185927,4.084708339665653,0.38042468673417024,0.3752934237732409,0.3855885424582067
2014,Autism,clinical_only,target,Autism,4.126447892817773,0.8601196457307735,0.3908059866022216,0.10751495571634666,5.528967183922666,0.5661208979903333,5.4118239633681,11793,1654,1707,2850,1708,22685,11793,11802,2843,0.5202556755565352,0.9975438596491228,False,500,doc_id,4.125862879753795,4.109377822957979,4.1438374132357065,0.39073285996922436,0.38867222786974737,0.39297967665446326
2015,Autism,clinical_only,target,Autism,4.140233478659936,0.8614343267129255,0.392529184832492,0.10767929083911561,5.479787173015144,0.559973396626893,5.386551170261588,8716,1489,1316,2083,1322,16685,8716,8736,2074,0.5235840575367097,0.9956793086893903,False,500,doc_id,4.140236645566722,4.121133976992709,4.1578943183701655,0.3925295806958402,0.39014174712408867,0.3947367897962707
2016,Autism,clinical_only,target,Autism,4.142494128173582,0.8454448798402338,0.3928117660216978,0.10568060998002918,5.440597248629907,0.5550746560787384,5.361954479364725,8941,1554,1390,2175,1392,17076,8941,8955,2171,0.5244202389318342,0.9981609195402299,False,500,doc_id,4.14229178521703,4.123433807823886,4.161347243237861,0.39278647315212867,0.3904292259779858,0.3951684054047326
2017,Autism,clinical_only,target,Autism,4.147882662425058,0.8744152569937199,0.39348533280313225,0.10930190712421492,5.464818915942738,0.5581023644928422,5.377708307842898,8173,1481,1288,1984,1290,15661,8173,8179,1980,0.5222527297107464,0.9979838709677419,False,500,doc_id,4.1470523475632755,4.127910250104454,4.170623386124149,0.39338154344540943,0.3909887812630567,0.3963279232655185
2018,Autism,clinical_only,target,Autism,4.11825080865887,0.834539418843593,0.3897813510823588,0.1043174273554491,5.451792734511073,0.5564740918138841,5.374807165961681,8038,1471,1275,1959,1277,15426,8038,8057,1953,0.5223000129651238,0.996937212863706,False,500,doc_id,4.117632190410535,4.096729461665043,4.137579260839852,0.3897040238013169,0.3870911827081304,0.3921974076049814
2019,Autism,clinical_only,target,Autism,4.11897698568622,0.8646933046980108,0.38987212321077747,0.10808666308725136,5.4803620544484986,0.5600452568060623,5.3922424922817855,7126,1354,1096,1717,1097,13578,7126,7132,1712,0.5252614523493887,0.9970879440885265,False,500,doc_id,4.118721123059155,4.096205856372301,4.14042847391329,0.38984014038239434,0.3870257320465377,0.3925535592391612
2020,Autism,clinical_only,target,Autism,4.130715207224641,0.8382099882272148,0.3913394009030801,0.10477624852840171,5.430608772778585,0.5538260965973231,5.368141428801806,6201,1310,1028,1532,1031,11895,6201,6206,1528,0.5217318200924759,0.9973890339425587,False,500,doc_id,4.1311362102331985,4.110381106804755,4.154247935540027,0.3913920262791498,0.3887976383505944,0.39428099194250343
2021,Autism,clinical_only,target,Autism,4.13333446461904,0.8471870087904111,0.39166680807737997,0.10589837609880136,5.458496521296453,0.5573120651620567,5.3887799083658585,5893,1257,917,1413,924,11172,5893,5896,1403,0.5277479412817758,0.9929228591648974,False,500,doc_id,4.133400085296135,4.1105446154335565,4.156581562929395,0.39167501066201693,0.3888180769291945,0.39457269536617434
2022,Autism,clinical_only,target,Autism,4.113079287031346,0.8312676250215686,0.38913491087891827,0.1039084531276961,5.452847777094857,0.5566059721368571,5.394048350747798,4881,1120,772,1175,772,9174,4881,4882,1173,0.5321560933071724,0.9982978723404256,False,500,doc_id,4.112698930635242,4.084437849142361,4.139302547367264,0.38908736632940527,0.38555473114279515,0.39241281842090797
2023,Autism,clinical_only,target,Autism,4.1070850022251895,0.8191558972798335,0.3883856252781486,0.10239448715997912,5.4847841566533155,0.5605980195816644,5.435064530485091,4494,1054,675,1092,678,8519,4494,4497,1084,0.5278788590210118,0.9926739926739927,False,500,doc_id,4.107629605453685,4.0812307749824575,4.132648913394049,0.3884537006817106,0.3851538468728071,0.39158111417425606
2024,Autism,clinical_only,target,Autism,4.136490120746433,0.8166520784585755,0.3920612650933041,0.10208150980732197,5.49211855104281,0.5615148188803513,5.4445499451152575,3644,884,590,900,592,6948,3644,3647,895,0.5248992515831894,0.9944444444444445,False,500,doc_id,4.136670516271317,4.106766105212974,4.165932823691326,0.3920838145339146,0.38834576315162167,0.3957416029614157
2025,Autism,clinical_only,target,Autism,4.182586442220201,0.8566303129675438,0.397823305277525,0.10707878912094297,5.5790900818926294,0.5723862602365787,5.506410373066424,4396,1008,634,1044,634,8244,4396,4398,1044,0.5334788937409025,1.0,False,500,doc_id,4.182589646877449,4.153847593479595,4.212036842067224,0.39782370585968113,0.39423094918494944,0.40150460525840304
2026,Autism,clinical_only,target,Autism,4.092920854271357,0.8567863882935337,0.38661510678391964,0.10709829853669169,5.529541457286433,0.566192682160804,5.454315326633166,1592,542,241,382,242,3049,1592,1592,380,0.5221384060347655,0.9947643979057592,False,500,doc_id,4.093497084332391,4.046121137649317,4.140394231393298,0.38668713554154893,0.38076514220616464,0.39254927892416225
