lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_warriner_mean,arousal_warriner_sd,arousal_scaled_mean,arousal_scaled_sd,valence_warriner_mean_for_reference,valence_scaled_mean_for_reference,dominance_warriner_mean_for_reference,matched_warriner_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_warriner_bootstrap_mean,arousal_warriner_ci_low,arousal_warriner_ci_high,arousal_scaled_bootstrap_mean,arousal_scaled_ci_low,arousal_scaled_ci_high
2014,Autism,lived_only,target,Autism,4.061649484536082,0.7726821007801207,0.3827061855670103,0.09658526259751508,5.8739214160669135,0.6092401770083642,5.58783796926668,5141,1233,933,1303,937,10515,5141,5141,1299,0.4889205896338564,0.9969301611665388,False,500,doc_id,4.061308143581462,4.041160265492665,4.085049140261956,0.3826635179476827,0.380145033186583,0.3856311425327446
2015,Autism,lived_only,target,Autism,4.051551971326164,0.7756156416377342,0.38144399641577065,0.09695195520471678,5.877709677419355,0.6097137096774193,5.624357228195938,4185,1094,740,1055,741,8482,4185,4185,1052,0.49339778354161756,0.9971563981042654,False,500,doc_id,4.050728277060924,4.025836963666416,4.074759134127363,0.3813410346326155,0.37822962045830216,0.38434489176592035
2016,Autism,lived_only,target,Autism,4.063697665802149,0.765622710608289,0.3829622082252686,0.09570283882603607,5.894355316783994,0.6117944145979992,5.618630048165988,5398,1203,930,1367,931,11130,5398,5398,1365,0.4849955076370171,0.9985369422092173,False,500,doc_id,4.063532806895037,4.042998424029408,4.086119958043796,0.3829416008618797,0.38037480300367593,0.38576499475547454
2017,Autism,lived_only,target,Autism,4.066882396449704,0.7754576778733745,0.38336029955621304,0.09693220973417187,5.8709023668639055,0.6088627958579882,5.629123520710059,5408,1255,956,1368,959,10993,5408,5410,1359,0.4921313563176567,0.993421052631579,False,500,doc_id,4.066798751070599,4.04431990285205,4.090180409090909,0.38334984388382487,0.3805399878565063,0.3862725511363636
2018,Autism,lived_only,target,Autism,4.049557142857143,0.7460131687090542,0.38119464285714283,0.0932516460886318,5.874879591836734,0.6093599489795918,5.6265857142857145,4900,1196,869,1239,873,9947,4900,4900,1232,0.49261083743842365,0.9943502824858758,False,500,doc_id,4.049739374192308,4.029302579635581,4.070357130883301,0.38121742177403856,0.3786628224544476,0.38379464136041264
2019,Autism,lived_only,target,Autism,4.046591794871794,0.766761062665749,0.38082397435897436,0.09584513283321867,5.884419487179487,0.6105524358974359,5.649078974358974,4875,1164,832,1191,833,9671,4875,4877,1187,0.5042911798159446,0.9966414777497901,False,500,doc_id,4.046316528683992,4.023475457731743,4.0684583389194025,0.380789566085499,0.3779344322164679,0.38355729236492536
2020,Autism,lived_only,target,Autism,4.067863529411764,0.7772577936377019,0.3834829411764706,0.09715722420471269,5.8721411764705875,0.6090176470588234,5.635861176470589,4250,1098,779,1064,782,8599,4250,4252,1058,0.4944761018723107,0.9943609022556391,False,500,doc_id,4.068346224488139,4.040941416049756,4.096077772016237,0.38354327806101735,0.38011767700621946,0.38700972150202967
2021,Autism,lived_only,target,Autism,4.053488574267263,0.7661070953100005,0.38168607178340785,0.0957633869137501,5.872584451068058,0.6090730563835073,5.616968455042226,4026,1027,707,994,709,8064,4026,4026,990,0.4992559523809524,0.9959758551307847,False,500,doc_id,4.052358018780983,4.028106864071026,4.076722822154308,0.3815447523476228,0.37851335800887825,0.3845903527692886
2022,Autism,lived_only,target,Autism,4.024836694120989,0.771800641633503,0.3781045867651236,0.09647508020418777,5.89699801192843,0.6121247514910537,5.68391934109628,3521,1011,641,911,643,7267,3521,3521,903,0.48451905875877255,0.991218441273326,False,500,doc_id,4.024370988225997,3.9921881648685167,4.053625311788345,0.37804637352824966,0.3740235206085646,0.38170316397354304
2023,Autism,lived_only,target,Autism,4.030476804123711,0.7731404965815645,0.3788096005154639,0.09664256207269552,5.894574742268041,0.6118218427835052,5.674571060382916,2716,848,467,687,470,5552,2716,2717,682,0.48937319884726227,0.992721979621543,False,500,doc_id,4.030010047298125,3.9973720093110647,4.0642315455437625,0.3787512559122657,0.3746715011638831,0.38302894319297026
2024,Autism,lived_only,target,Autism,4.024827981651376,0.7858664817805474,0.378103497706422,0.09823331022256844,5.86973241590214,0.6087165519877675,5.668161314984709,2616,833,452,651,454,5269,2616,2616,649,0.4964888973239704,0.9969278033794163,False,500,doc_id,4.024716462696453,3.9881947672676756,4.060891959269166,0.37808955783705667,0.3735243459084595,0.3826114949086457
2025,Autism,lived_only,target,Autism,4.287680701754386,1.044285485873056,0.4109600877192982,0.130535685734132,5.64561052631579,0.5807013157894737,5.411340350877193,2850,798,564,746,566,5333,2850,2851,744,0.5345959122445153,0.9973190348525469,False,500,doc_id,4.288473412809577,4.242455452064298,4.332691860334442,0.4110591766011971,0.4053069315080372,0.41658648254180525
2026,Autism,lived_only,target,Autism,3.999284274193548,0.7542578711959368,0.3749105342741935,0.09428223389949211,5.874949596774194,0.6093686995967742,5.654445564516129,992,430,169,250,170,2019,992,992,248,0.4913323427439326,0.992,False,500,doc_id,4.0018738251302635,3.934703072012767,4.06093950025053,0.375234228141283,0.36683788400159584,0.38261743753131633
2014,Autism,mixed,target,Autism,4.08658037653874,0.8207632481696322,0.38582254706734254,0.10259540602120404,5.741851918899348,0.5927314898624185,5.56096850108617,2762,818,501,660,502,5330,2762,2765,659,0.5187617260787992,0.9984848484848485,False,500,doc_id,4.086743577970622,4.052410966809575,4.11984205695721,0.3858429472463277,0.3815513708511969,0.38998025711965123
2015,Autism,mixed,target,Autism,4.067644166294143,0.8114235499665008,0.383455520786768,0.10142794374581254,5.77997317836388,0.597496647295485,5.5843227536879745,2237,694,412,539,413,4374,2237,2239,537,0.5118884316415181,0.9962894248608535,False,500,doc_id,4.06787260985096,4.038037748521663,4.09631394775258,0.38348407623137015,0.37975471856520787,0.3870392434690725
2016,Autism,mixed,target,Autism,4.075103148751357,0.7738251578661904,0.38438789359391967,0.09672814473327378,5.795805284111473,0.5994756605139341,5.600258776692002,2763,831,501,678,501,5493,2763,2763,677,0.503003823047515,0.9985250737463127,False,500,doc_id,4.074445765022096,4.041768481640639,4.107926911662073,0.38430572062776197,0.38022106020507984,0.38849086395775906
