analysis_unit,lsc_year,frame_stratum,available_contexts,markable_contexts_before_dedupe,markable_contexts,sampled_contexts,sampled_documents,sampled_domains,target_sentence_contexts,adjacent_contexts,top_domain,top_domain_share,unmarkable_contexts,duplicate_marked_contexts_removed,unmarkable_share,cap_applied,sampling_policy,max_contexts_per_unit_year_frame,small_cell_flag
Autism,2016,substantive_core_overall,4220,4220,3943,3943,2553,2064,3872,71,rainbowsaretoobeautiful.com,0.010651787978696424,0,277,0.0,False,all_markable_target_contexts,-1,False
Autism,2017,clinical_only,1984,1984,1862,1862,1290,1123,1832,30,scienceblogs.com,0.009129967776584319,0,122,0.0,False,all_markable_target_contexts,-1,False
Autism,2017,lived_only,1368,1368,1291,1291,959,853,1264,27,theautismdirectory.com,0.022463206816421378,0,77,0.0,False,all_markable_target_contexts,-1,False
Autism,2017,mixed,627,627,589,589,457,418,584,5,lybrate.com,0.013582342954159592,0,38,0.0,False,all_markable_target_contexts,-1,False
Autism,2017,substantive_core_overall,3979,3979,3741,3741,2439,2080,3679,62,theautismdirectory.com,0.009355787222667736,0,238,0.0,False,all_markable_target_contexts,-1,False
Autism,2018,clinical_only,1959,1959,1843,1843,1277,1131,1807,36,eu-aims.eu,0.017905588714053174,0,116,0.0,False,all_markable_target_contexts,-1,False
Autism,2018,lived_only,1239,1239,1164,1164,873,790,1131,33,unibe.ch,0.023195876288659795,0,75,0.0,False,all_markable_target_contexts,-1,False
Autism,2018,mixed,620,620,572,572,477,433,563,9,autismafter16.com,0.015734265734265736,0,48,0.0,False,all_markable_target_contexts,-1,False
Autism,2018,substantive_core_overall,3818,3818,3579,3579,2369,2046,3501,78,eu-aims.eu,0.009220452640402346,0,239,0.0,False,all_markable_target_contexts,-1,False
Autism,2019,clinical_only,1717,1717,1611,1611,1097,1004,1573,38,rki.de,0.01303538175046555,0,106,0.0,False,all_markable_target_contexts,-1,False
Autism,2019,lived_only,1191,1191,1106,1106,833,789,1084,22,theautismdirectory.com,0.013562386980108499,0,85,0.0,False,all_markable_target_contexts,-1,False
Autism,2019,mixed,546,546,506,506,403,376,498,8,medicationjunction.com,0.039525691699604744,0,40,0.0,False,all_markable_target_contexts,-1,False
Autism,2019,substantive_core_overall,3454,3454,3223,3223,2104,1899,3155,68,rki.de,0.006515668631709587,0,231,0.0,False,all_markable_target_contexts,-1,False
Autism,2020,clinical_only,1532,1532,1448,1448,1031,966,1414,34,virginia.edu,0.006906077348066298,0,84,0.0,False,all_markable_target_contexts,-1,False
Autism,2020,lived_only,1064,1064,1009,1009,782,735,987,22,drivemomcrazy.com,0.009910802775024777,0,55,0.0,False,all_markable_target_contexts,-1,False
Autism,2020,mixed,525,525,486,486,388,373,478,8,utah.edu,0.01646090534979424,0,39,0.0,False,all_markable_target_contexts,-1,False
Autism,2020,substantive_core_overall,3121,3121,2941,2941,1973,1818,2877,64,drivemomcrazy.com,0.0051003060183611015,0,180,0.0,False,all_markable_target_contexts,-1,False
Autism,2021,clinical_only,1413,1413,1330,1330,924,829,1304,26,asdcarc.com,0.012781954887218045,0,83,0.0,False,all_markable_target_contexts,-1,False
Autism,2021,lived_only,994,994,939,939,709,670,920,19,middlesbrough.gov.uk,0.007454739084132056,0,55,0.0,False,all_markable_target_contexts,-1,False
Autism,2021,mixed,551,551,503,503,407,387,497,6,cam.ac.uk,0.009940357852882704,0,48,0.0,False,all_markable_target_contexts,-1,False
Autism,2021,substantive_core_overall,2958,2958,2771,2771,1831,1657,2720,51,asdcarc.com,0.006134969325153374,0,187,0.0,False,all_markable_target_contexts,-1,False
Autism,2022,clinical_only,1175,1175,1099,1099,772,715,1075,24,simonssearchlight.org,0.00818926296633303,0,76,0.0,False,all_markable_target_contexts,-1,False
Autism,2022,lived_only,911,911,852,852,643,598,831,21,autisticandme.com,0.009389671361502348,0,59,0.0,False,all_markable_target_contexts,-1,False
Autism,2022,mixed,421,421,390,390,318,302,385,5,massgeneral.org,0.01282051282051282,0,31,0.0,False,all_markable_target_contexts,-1,False
Autism,2022,substantive_core_overall,2507,2507,2341,2341,1557,1415,2291,50,massgeneral.org,0.00598035027765912,0,166,0.0,False,all_markable_target_contexts,-1,False
Autism,2023,clinical_only,1092,1092,1013,1013,678,623,999,14,northeastern.edu,0.014807502467917079,0,79,0.0,False,all_markable_target_contexts,-1,False
Autism,2023,lived_only,687,687,638,638,470,445,630,8,phoenix.org.uk,0.009404388714733543,0,49,0.0,False,all_markable_target_contexts,-1,False
Autism,2023,mixed,372,372,342,342,283,269,335,7,autismspeaks.org,0.017543859649122806,0,30,0.0,False,all_markable_target_contexts,-1,False
Autism,2023,substantive_core_overall,2151,2151,1993,1993,1286,1180,1964,29,autismspeaks.org,0.01154039136979428,0,158,0.0,False,all_markable_target_contexts,-1,False
Autism,2024,clinical_only,900,900,853,853,592,531,829,24,thetreetop.com,0.011723329425556858,0,47,0.0,False,all_markable_target_contexts,-1,False
Autism,2024,lived_only,651,651,608,608,454,430,599,9,auticon.com,0.011513157894736841,0,43,0.0,False,all_markable_target_contexts,-1,False
Autism,2024,mixed,315,315,299,299,229,215,295,4,aspect.org.au,0.023411371237458192,0,16,0.0,False,all_markable_target_contexts,-1,False
Autism,2024,substantive_core_overall,1866,1866,1760,1760,1140,1022,1723,37,risingaboveaba.com,0.007386363636363636,0,106,0.0,False,all_markable_target_contexts,-1,False
Autism,2025,clinical_only,1044,1044,992,992,634,513,978,14,beaminghealth.com,0.02217741935483871,0,52,0.0,False,all_markable_target_contexts,-1,False
Autism,2025,lived_only,746,746,705,705,566,507,694,11,phoenix.org.uk,0.01276595744680851,0,41,0.0,False,all_markable_target_contexts,-1,False
Autism,2025,mixed,357,357,331,331,273,246,325,6,goldstarrehab.com,0.021148036253776436,0,26,0.0,False,all_markable_target_contexts,-1,False
Autism,2025,substantive_core_overall,2147,2147,2028,2028,1326,1108,1997,31,goldstarrehab.com,0.013313609467455622,0,119,0.0,False,all_markable_target_contexts,-1,False
Autism,2026,clinical_only,382,382,356,356,242,216,354,2,crossrivertherapy.com,0.0702247191011236,0,26,0.0,False,all_markable_target_contexts,-1,False
Autism,2026,lived_only,250,250,228,228,170,162,224,4,phoenix.org.uk,0.021929824561403508,0,22,0.0,False,all_markable_target_contexts,-1,False
Autism,2026,mixed,120,120,106,106,84,82,106,0,iatutah.com,0.05660377358490566,0,14,0.0,False,all_markable_target_contexts,-1,False
Autism,2026,substantive_core_overall,752,752,690,690,453,410,684,6,crossrivertherapy.com,0.036231884057971016,0,62,0.0,False,all_markable_target_contexts,-1,False
frustration,2014,unframed_baseline,11401,11401,11324,1000,998,926,968,32,harrypotterfanfiction.com,0.01,0,77,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2015,unframed_baseline,8543,8543,8475,1000,1000,944,974,26,astrotheme.com,0.007,0,68,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2016,unframed_baseline,10068,10068,9966,1000,998,939,971,29,astrotheme.com,0.01,0,102,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2017,unframed_baseline,9489,9489,9427,1000,1000,978,959,41,astrotheme.com,0.006,0,62,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2018,unframed_baseline,9422,9422,9340,1000,1000,980,964,36,wikidot.com,0.005,0,82,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2019,unframed_baseline,8615,8615,8557,1000,999,976,957,43,wikidot.com,0.013,0,58,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2020,unframed_baseline,8982,8982,8900,1000,998,986,963,37,dopely.top,0.005,0,82,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2021,unframed_baseline,7962,7962,7904,1000,999,982,966,34,yahoo.com,0.006,0,58,0.0,True,domain_stratified_baseline_cap,1000,False
