analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,valence,weighted_valence_contribution,valence_contribution_to_cell_mean,match_share,total_matches_for_cell,total_documents_for_cell,valence_mean_for_cell
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,positive,4,like,unigram,False,False,151,141,0.77225,116.60975,0.004570063881486126,0.0059178554632387526,25516,4320,0.06991934603124836
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,positive,5,family,unigram,False,False,77,72,0.8845000000000002,68.10650000000001,0.0026691683649474845,0.0030177143752939334,25516,4320,0.06991934603124836
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,negative,1,disorder,unigram,False,False,1314,985,-0.675,-886.95,-0.04945358238081963,0.07326456649010316,17935,2913,0.09600177771582566
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,negative,2,adhd,unigram,False,True,316,265,-0.484,-152.944,-0.008527683300808475,0.01761918037357123,17935,2913,0.09600177771582566
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,negative,3,disability,unigram,False,False,158,146,-0.8539999999999999,-134.932,-0.0075233900195149144,0.008809590186785616,17935,2913,0.09600177771582566
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,negative,4,diagnose,unigram,False,False,155,139,-0.4555,-70.6025,-0.003936576526345136,0.008642319487036521,17935,2913,0.09600177771582566
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,negative,5,schizophrenia,unigram,False,False,81,71,-0.8159999999999998,-66.09599999999999,-0.0036853080568720374,0.004516308893225537,17935,2913,0.09600177771582566
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,positive,1,child,unigram,False,False,764,614,0.7689999999999999,587.516,0.03275807081126289,0.04259827153610259,17935,2913,0.09600177771582566
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,positive,2,developmental,unigram,False,False,186,178,0.704,130.944,0.007301031502648452,0.010370783384443825,17935,2913,0.09600177771582566
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,positive,3,include,unigram,False,False,179,167,0.45933333333333337,82.22066666666667,0.004584369482390113,0.009980485085029273,17935,2913,0.09600177771582566
