analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,arousal,weighted_arousal_contribution,arousal_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_arousal_mean
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_lowering,3,son,unigram,son,False,False,29,28,-0.27,-7.83,-0.002314513745196571,0.008572273130357671,3383,890,-0.01265515321706572
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_lowering,4,read,unigram,read,False,False,14,11,-0.534,-7.476000000000001,-0.002209872893881171,0.004138338752586462,3383,890,-0.01265515321706572
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_lowering,5,student,unigram,student,False,False,24,20,-0.276,-6.6240000000000006,-0.001958025421223766,0.007094295004433935,3383,890,-0.01265515321706572
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_raising,1,anxiety,unigram,anxiety,False,False,24,24,0.73,17.52,0.005178835353236772,0.007094295004433935,3383,890,-0.01265515321706572
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_raising,2,disorder,unigram,disorder,False,False,22,21,0.53,11.66,0.0034466449896541533,0.00650310375406444,3383,890,-0.01265515321706572
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_raising,3,challenge,unigram,challenge,False,False,15,13,0.7555000000000001,11.332500000000001,0.0033498374224061487,0.004433934377771209,3383,890,-0.01265515321706572
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_raising,4,struggle,unigram,struggle,False,False,14,14,0.7575000000000001,10.605,0.003134791605084245,0.004138338752586462,3383,890,-0.01265515321706572
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_raising,5,issue,unigram,issue,False,False,16,16,0.5900000000000001,9.440000000000001,0.0027904227017440148,0.004729530002955957,3383,890,-0.01265515321706572
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_lowering,1,student,unigram,student,False,False,48,38,-0.276,-13.248000000000001,-0.003719258843346435,0.01347557551937114,3562,900,0.002135527793374509
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_lowering,2,add,unigram,add,True,False,83,73,-0.105,-8.715,-0.0024466591802358227,0.02330151600224593,3562,900,0.002135527793374509
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_lowering,3,dyslexia,unigram,dyslexia,False,False,48,48,-0.167,-8.016,-0.0022504211117349805,0.01347557551937114,3562,900,0.002135527793374509
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_lowering,4,autistic,unigram,autistic,False,True,20,18,-0.326,-6.5200000000000005,-0.0018304323413812465,0.005614823133071308,3562,900,0.002135527793374509
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_lowering,5,people,unigram,people,False,False,40,35,-0.15000000000000002,-6.000000000000001,-0.0016844469399213927,0.011229646266142616,3562,900,0.002135527793374509
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_raising,1,anxiety,unigram,anxiety,False,False,51,51,0.73,37.23,0.01045199326221224,0.014317798989331837,3562,900,0.002135527793374509
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_raising,2,challenge,unigram,challenge,False,False,29,24,0.7555000000000001,21.9095,0.006150898371701291,0.008141493542953397,3562,900,0.002135527793374509
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_raising,3,disorder,unigram,disorder,False,False,30,29,0.53,15.9,0.00446378439079169,0.008422234699606962,3562,900,0.002135527793374509
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_raising,4,struggle,unigram,struggle,False,False,16,15,0.7575000000000001,12.120000000000001,0.003402582818641213,0.004491858506457047,3562,900,0.002135527793374509
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_raising,5,issue,unigram,issue,False,False,17,17,0.5900000000000001,10.030000000000001,0.0028158338012352615,0.004772599663110612,3562,900,0.002135527793374509
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_lowering,1,autistic,unigram,autistic,False,True,58,51,-0.326,-18.908,-0.004592664561573962,0.014087928102987613,4117,906,-0.0017909845356651275
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_lowering,2,dyslexia,unigram,dyslexia,False,False,88,83,-0.167,-14.696000000000002,-0.0035695895069225167,0.021374787466601895,4117,906,-0.0017909845356651275
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_lowering,3,individual,unigram,individual,False,False,32,30,-0.346,-11.072,-0.0026893368957979107,0.007772649987855235,4117,906,-0.0017909845356651275
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_lowering,4,people,unigram,people,False,False,69,60,-0.15000000000000002,-10.350000000000001,-0.0025139664804469278,0.01675977653631285,4117,906,-0.0017909845356651275
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_lowering,5,mode,unigram,mode,False,False,14,7,-0.63,-8.82,-0.002142336652902599,0.003400534369686665,4117,906,-0.0017909845356651275
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_raising,1,challenge,unigram,challenge,False,False,34,31,0.7555000000000001,25.687,0.006239251882438669,0.008258440612096187,4117,906,-0.0017909845356651275
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_raising,2,anxiety,unigram,anxiety,False,False,32,30,0.73,23.36,0.005674034491134321,0.007772649987855235,4117,906,-0.0017909845356651275
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_raising,3,disorder,unigram,disorder,False,False,34,31,0.53,18.02,0.004376973524410978,0.008258440612096187,4117,906,-0.0017909845356651275
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_raising,4,struggle,unigram,struggle,False,False,22,22,0.7575000000000002,16.665000000000003,0.004047850376487735,0.005343696866650474,4117,906,-0.0017909845356651275
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_raising,5,spectrum,unigram,spectrum,False,True,26,22,0.4,10.4,0.002526111246052951,0.006315278115132378,4117,906,-0.0017909845356651275
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,1,link,unigram,link,False,False,416,376,-0.4719999999999999,-196.35199999999998,-0.003248279512969825,0.006881948120698782,60448,10059,0.0031577849280924673
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,2,family,unigram,family,False,False,306,283,-0.4085,-125.00099999999999,-0.0020679096082583375,0.005062202223398623,60448,10059,0.0031577849280924673
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,3,individual,unigram,individual,False,False,354,304,-0.346,-122.484,-0.002026270513499206,0.005856273160402329,60448,10059,0.0031577849280924673
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,4,center,unigram,center,False,False,203,166,-0.538,-109.21400000000001,-0.0018067429857067233,0.0033582583377448384,60448,10059,0.0031577849280924673
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,5,people,unigram,people,False,False,726,594,-0.15000000000000002,-108.90000000000002,-0.0018015484383271576,0.012010322922181049,60448,10059,0.0031577849280924673
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,1,disorder,unigram,disorder,False,False,2686,2101,0.53,1423.5800000000002,0.02355048967707782,0.0444348861831657,60448,10059,0.0031577849280924673
