lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_mean,arousal_sd,valence_mean_for_reference,dominance_mean_for_reference,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_bootstrap_mean,arousal_ci_low,arousal_ci_high,top5_collocate_share
2020,ADHD,mixed,target,ADHD,0.006530224358974359,0.3332068310607158,0.09725419871794871,0.07305926282051282,520,308,125,156,130,601,520,540,151,0.8985024958402662,0.967948717948718,False,500,doc_id,0.005667711319628538,-0.025138298291981925,0.03827930448717948,0.13076923076923078
2021,ADHD,mixed,target,ADHD,0.03848970671178793,0.3472819153356508,0.07206316976875353,0.04589481105470953,591,345,147,180,150,690,591,608,174,0.881159420289855,0.9666666666666667,False,500,doc_id,0.03885205484396586,0.010220513060777309,0.06668600794042914,0.1065989847715736
2022,ADHD,mixed,target,ADHD,0.012886593059936908,0.2973938010370639,0.1669742902208202,0.10742326498422712,634,367,149,193,152,717,634,647,189,0.902370990237099,0.9792746113989638,False,500,doc_id,0.013608076272178684,-0.010565312086028207,0.03760018775650052,0.1356466876971609
2023,ADHD,mixed,target,ADHD,0.006851201478743071,0.3262809517176887,0.1424259088108441,0.05560720887245841,541,330,121,159,122,614,541,553,156,0.9006514657980456,0.9811320754716981,False,500,doc_id,0.007502592306468133,-0.020520340485609443,0.03901055427602988,0.14417744916820702
2024,ADHD,mixed,target,ADHD,-0.014559779077322935,0.3223178545642039,0.14308528265107212,0.10168486029889538,513,315,121,154,122,596,513,518,152,0.8691275167785235,0.987012987012987,False,500,doc_id,-0.014370891340283702,-0.045456526665819466,0.02001435060202787,0.1189083820662768
2025,ADHD,mixed,target,ADHD,-0.0042837249782419476,0.31751590183480144,0.10827915578764143,0.0885491731940818,383,263,90,110,92,454,383,392,108,0.8634361233480177,0.9818181818181818,False,500,doc_id,-0.003385683781856309,-0.0370374051413854,0.02568079069237775,0.09660574412532637
2026,ADHD,mixed,target,ADHD,-0.00030627572016460753,0.3274104431415957,0.16789927983539094,0.09965061728395061,162,117,38,44,38,190,162,165,44,0.868421052631579,1.0,True,500,doc_id,-0.0005295457021206991,-0.04456256624634503,0.047616417929827244,0.12345679012345678
2014,ADHD,substantive_core_overall,target,ADHD,0.018972107664760585,0.3361349594220237,0.07936805290821926,0.046039972852769596,5771,1482,1076,1779,1093,6595,5771,5942,1735,0.9009855951478393,0.9752670039347948,False,500,doc_id,0.019317341935570446,0.009462590696664991,0.029277207889417806,0.12129613585167215
2015,ADHD,substantive_core_overall,target,ADHD,0.010809923510466989,0.33128206289708095,0.08731068505099301,0.04686314412238325,4968,1382,982,1547,993,5713,4968,5117,1512,0.8956765272186242,0.9773755656108597,False,500,doc_id,0.010850493940652942,0.0009434324589791194,0.021783524551900173,0.11916264090177134
2016,ADHD,substantive_core_overall,target,ADHD,0.024314820294679736,0.33216435634976177,0.066323648357068,0.0423038684421429,5407,1466,1092,1640,1098,6104,5407,5548,1607,0.9089121887287025,0.9798780487804878,False,500,doc_id,0.02434827576263037,0.014544213471533224,0.03375130720137824,0.12243388200480858
