lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_mean,arousal_sd,valence_mean_for_reference,dominance_mean_for_reference,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_bootstrap_mean,arousal_ci_low,arousal_ci_high
2022,Autism,substantive_core_overall,target,Autism,-0.03335697259539178,0.26072802013507707,0.11217484631240168,0.0410851096304868,15802,2547,1557,2507,1557,19856,15802,16846,2505,0.8484085414987913,0.9992022337455125,False,500,doc_id,-0.03332321574590749,-0.03815929878828487,-0.02802057168558022
2023,Autism,substantive_core_overall,target,Autism,-0.026845193955064253,0.26201672567486173,0.11102097111871788,0.046818279091514974,13647,2305,1284,2151,1286,17047,13647,14464,2147,0.8484777380184196,0.99814039981404,False,500,doc_id,-0.026835343069885043,-0.03205625272281965,-0.02210000625596884
2024,Autism,substantive_core_overall,target,Autism,-0.025839442687954517,0.26237410615092066,0.10963895147646101,0.048741377855305607,11793,2050,1140,1866,1140,14791,11793,12582,1865,0.8506524237712122,0.9994640943193998,False,500,doc_id,-0.025828576456031715,-0.031736698578186846,-0.020650394665866545
2025,Autism,substantive_core_overall,target,Autism,-0.0012262463175152021,0.2911807660725202,0.10881822324359346,0.07397010914115326,13303,2124,1326,2147,1326,16464,13303,14029,2147,0.8521015549076774,1.0,False,500,doc_id,-0.0011914393121666364,-0.006858649175180457,0.004658716004558012
2026,Autism,substantive_core_overall,target,Autism,-0.02922892970803929,0.2523991999715116,0.1228801196900512,0.0502720596374706,4818,1206,453,752,453,6016,4818,5099,752,0.8475731382978723,1.0,False,500,doc_id,-0.029288308408442484,-0.03712392137257457,-0.021048756293566808
2014,frustration,unframed_baseline,baseline,baseline,-0.025121543615046555,0.27287565051007096,0.05940964495789677,0.03214460613883714,72933,7230,10237,11401,10238,94684,72933,79100,11400,0.8354104178108234,0.9999122883957547,False,500,doc_id,-0.025184883425618303,-0.027295913135249324,-0.02312186290609914
2015,frustration,unframed_baseline,baseline,baseline,-0.024293551759286533,0.2733954786685403,0.05782010768357782,0.028104283663500984,54799,6369,7595,8543,7595,70564,54799,59498,8534,0.8431778243863727,0.9989465059112724,False,500,doc_id,-0.0243626786709547,-0.02669023455491841,-0.021607732116869005
2016,frustration,unframed_baseline,baseline,baseline,-0.02230641795035196,0.27447837268864345,0.055321095032998584,0.029956216003398744,65010,6946,9002,10068,9003,83328,65010,70594,10067,0.8471822196620584,0.9999006754072308,False,500,doc_id,-0.02234247374236226,-0.02456243823120518,-0.020247186466995457
2017,frustration,unframed_baseline,baseline,baseline,-0.02348496347942339,0.2742032597679771,0.05650437347378576,0.027986255057008393,61407,6685,8588,9489,8588,78492,61407,66675,9488,0.8494496254395353,0.9998946148171567,False,500,doc_id,-0.023591108197444526,-0.02590374341038287,-0.021460633735115933
2018,frustration,unframed_baseline,baseline,baseline,-0.023600357361881603,0.2718325293332197,0.05378373453921946,0.029467810443712276,60876,6544,8438,9422,8440,78120,60876,66114,9420,0.8463133640552996,0.9997877308427086,False,500,doc_id,-0.02364195726815899,-0.02595055830865827,-0.021276578762540865
2019,frustration,unframed_baseline,baseline,baseline,-0.025484697737613644,0.27381574455651514,0.052208153481204174,0.028281077510301008,55866,6297,7716,8615,7720,71472,55866,60823,8611,0.8510045892097605,0.9995356935577481,False,500,doc_id,-0.025559739455485172,-0.027830757510790012,-0.02332132703450396
2020,frustration,unframed_baseline,baseline,baseline,-0.023355116840408554,0.27594076307646037,0.05281111320357366,0.030019338849334595,58790,6343,7943,8982,7943,74523,58790,63756,8982,0.8555211142868645,1.0,False,500,doc_id,-0.02341735524485387,-0.02614250395837133,-0.02102612421997928
2021,frustration,unframed_baseline,baseline,baseline,-0.022299360183994806,0.2749073343033277,0.05263195534944116,0.029157537965941463,51782,6066,7108,7962,7108,65925,51782,56203,7962,0.8525293894577171,1.0,False,500,doc_id,-0.02230618619430989,-0.02477979423162746,-0.019841100718462745
2022,frustration,unframed_baseline,baseline,baseline,-0.020765401367682592,0.2742614967309372,0.05799601484692428,0.03293033896417146,45743,5651,6274,6963,6275,57949,45743,49571,6962,0.8554245974908972,0.9998563837426396,False,500,doc_id,-0.02076871927749887,-0.023237304129165366,-0.018216971390575567
2023,frustration,unframed_baseline,baseline,baseline,-0.021326465659079166,0.27489457912766196,0.05835165177721575,0.028391976183677354,42024,5286,5618,6377,5618,53137,42024,45612,6377,0.8583849295218021,1.0,False,500,doc_id,-0.02142159342989236,-0.02446774226629603,-0.018792609409393493
2024,frustration,unframed_baseline,baseline,baseline,-0.023768101356487166,0.2730777125526761,0.06603753252353388,0.03295696844120914,45608,5349,5956,6881,5957,57193,45608,49316,6880,0.8622733551308727,0.9998546722860049,False,500,doc_id,-0.023746828491237295,-0.026509434121596478,-0.021440141737792552
2025,frustration,unframed_baseline,baseline,baseline,-0.027505779411550822,0.27761295321509216,0.08584530629608622,0.046307302892796366,45838,5374,5902,6928,5902,57053,45838,49463,6928,0.8669658037263597,1.0,False,500,doc_id,-0.027539709751145836,-0.0302370820235546,-0.02470398412602714
2026,frustration,unframed_baseline,baseline,baseline,-0.03193893891862642,0.2774162889527178,0.09589017793158418,0.04868590431949807,26048,4126,3276,3851,3276,31823,26048,27915,3851,0.8771957389309619,1.0,False,500,doc_id,-0.03189030049678285,-0.0356022994442321,-0.028374046869497307
2014,loneliness,unframed_baseline,baseline,baseline,-0.023086317723006355,0.27721740927091587,0.02526659588223358,-0.008307409950403709,20182,3538,2621,3209,2621,25707,20182,21728,3209,0.8452172560003112,1.0,False,500,doc_id,-0.023022103035556747,-0.027308208588754327,-0.019001496727850828
2015,loneliness,unframed_baseline,baseline,baseline,-0.01761893738849809,0.2861242406396651,0.022516801087461485,-0.007034393718233123,17323,3143,2265,2759,2265,21794,17323,18659,2759,0.8561530696521978,1.0,False,500,doc_id,-0.0175468070542993,-0.022108599706727235,-0.012741234854404544
2016,loneliness,unframed_baseline,baseline,baseline,-0.022644245228455755,0.2811273657797517,0.01985447953076672,-0.010867961710295807,22724,3704,2884,3561,2884,28612,22724,24459,3561,0.854851111421781,1.0,False,500,doc_id,-0.022789510650131448,-0.026667520155627313,-0.018965928634922635
2017,loneliness,unframed_baseline,baseline,baseline,-0.02564531598772321,0.2813498320106321,0.01680100051153274,-0.010614727608816965,20480,3462,2691,3256,2691,25980,20480,22038,3256,0.8482678983833718,1.0,False,500,doc_id,-0.025790159513490955,-0.029687685517562717,-0.021874254604519937
2018,loneliness,unframed_baseline,baseline,baseline,-0.02875145566780367,0.2833366480873431,0.021461092415193138,-0.0021889301288166908,21862,3617,2749,3430,2749,27465,21862,23411,3428,0.8523939559439286,0.9994169096209913,False,500,doc_id,-0.028765355343341268,-0.03279463839836194,-0.02514722369942333
2019,loneliness,unframed_baseline,baseline,baseline,-0.0272413271479958,0.2832749220990697,0.021707793596328583,-0.00019677661506693327,20109,3432,2523,3142,2523,25202,20109,21658,3142,0.8593762399809539,1.0,False,500,doc_id,-0.027149361908427042,-0.031683539533780496,-0.02278685434698414
2020,loneliness,unframed_baseline,baseline,baseline,-0.025514587645740473,0.28435627165791255,0.017248044874216214,0.00020210839985562322,28365,4010,3445,4381,3445,35367,28365,30492,4380,0.8621596403426923,0.9997717416115042,False,500,doc_id,-0.02555775046506616,-0.02937181244488563,-0.021891203575483787
2021,loneliness,unframed_baseline,baseline,baseline,-0.024558377211911956,0.27935265081592253,0.018034524528844773,-0.0027625638517239726,24825,3652,3024,3852,3024,31279,24825,26614,3852,0.8508584034016433,1.0,False,500,doc_id,-0.024571250467452684,-0.028384457481335758,-0.020673706707139593
2022,loneliness,unframed_baseline,baseline,baseline,-0.029119128176646303,0.280484875595897,0.028891821402302644,0.00459413668272815,19034,3207,2372,2955,2372,23846,19034,20524,2955,0.8606894238027342,1.0,False,500,doc_id,-0.02929072362842688,-0.033077929516767975,-0.02526030554763634
2023,loneliness,unframed_baseline,baseline,baseline,-0.024330567621988812,0.2849019085419968,0.02341267894614789,-0.0002573047641672183,16838,2813,1985,2588,1985,20934,16838,18036,2588,0.8615649183147034,1.0,False,500,doc_id,-0.024372360153345804,-0.029007069529786267,-0.02007986449513013
2024,loneliness,unframed_baseline,baseline,baseline,-0.02457723132432291,0.28698251301827704,0.03791537256404212,0.014341015604536643,14544,2566,1733,2207,1733,17977,14544,15438,2207,0.8587639761918007,1.0,False,500,doc_id,-0.024448527163930374,-0.02962271418380568,-0.019103033476923884
2025,loneliness,unframed_baseline,baseline,baseline,-0.011829467894368978,0.2938049482825803,0.03821618386665451,0.016210680478317682,12536,2315,1566,1993,1566,15700,12536,13336,1993,0.8494267515923567,1.0,False,500,doc_id,-0.011894724137738169,-0.01746779506898687,-0.0066546337442881034
2026,loneliness,unframed_baseline,baseline,baseline,-0.025306848177388205,0.2974517924065006,0.06938266142346831,0.029561972303104894,4759,1405,573,719,573,5785,4759,5067,719,0.875885911840968,1.0,False,500,doc_id,-0.025084236808858046,-0.034423381233722496,-0.016401985634198823
2014,sadness,unframed_baseline,baseline,baseline,-0.015118028131996614,0.2811677606270051,0.04332664587409255,0.009572019495648051,38773,4627,5212,6174,5212,48952,38773,41403,6174,0.8457877104101977,1.0,False,500,doc_id,-0.015121597903096905,-0.018199593786660105,-0.012170216798484654
2015,sadness,unframed_baseline,baseline,baseline,-0.010098402303258225,0.28311687097167626,0.03971172950730048,0.0077282230753949,30921,4166,4144,4936,4145,39014,30921,33180,4935,0.8504639360229661,0.9997974068071313,False,500,doc_id,-0.010232187774578884,-0.013527072034097039,-0.006666410072744057
2016,sadness,unframed_baseline,baseline,baseline,-0.009964638221381265,0.283332424983742,0.03821199463891517,0.010362997098707033,37750,4630,5056,6011,5057,47627,37750,40361,6009,0.8474394776072396,0.9996672766594576,False,500,doc_id,-0.009959067916543905,-0.013186462539628555,-0.006922993512933693
2017,sadness,unframed_baseline,baseline,baseline,-0.005642127946522808,0.2850813108280211,0.03652351452249717,0.013087865017004808,34108,4298,4647,5397,4647,42761,34108,36376,5396,0.8506816959378873,0.9998147118769687,False,500,doc_id,-0.005606691562423543,-0.008924281992234242,-0.002204893495635385
2018,sadness,unframed_baseline,baseline,baseline,-0.008918165216003304,0.28240809878737627,0.05332666309869206,0.019497913204322884,35501,4379,4791,5569,4791,44473,35501,37830,5567,0.8506284712072494,0.9996408690967857,False,500,doc_id,-0.009018452671911611,-0.012421138104770163,-0.005653887826121088
2019,sadness,unframed_baseline,baseline,baseline,-0.0010131814536340831,0.2893345340850399,0.032283068671679196,0.010094924394319131,28500,3960,3858,4490,3859,35548,28500,30342,4489,0.8535501294024981,0.9997772828507795,False,500,doc_id,-0.0009756300240068552,-0.004764212054354731,0.002921569868241217
2020,sadness,unframed_baseline,baseline,baseline,-0.0022919800392481697,0.28830545962687576,0.024297705502865353,0.009501606841998793,32249,4124,4367,5091,4368,40407,32249,34530,5090,0.8545549038532927,0.9998035749361619,False,500,doc_id,-0.0023560963871312283,-0.005812804761141144,0.0012557599490798591
2021,sadness,unframed_baseline,baseline,baseline,-0.0011631779754505466,0.2918886888647396,0.02653061658836888,0.011820070602543196,26547,3626,3607,4219,3607,33305,26547,28356,4218,0.8514036931391683,0.9997629770087698,False,500,doc_id,-0.0010285322857952954,-0.005136781278903178,0.0033136530776909047
2022,sadness,unframed_baseline,baseline,baseline,-0.0046799041134918985,0.286507212427822,0.029103560179590718,0.00872802518985725,24235,3370,3229,3768,3229,30245,24235,25781,3768,0.8524053562572326,1.0,False,500,doc_id,-0.004586918459670491,-0.008789053344777815,-0.0006476431802514733
2023,sadness,unframed_baseline,baseline,baseline,0.0023960065818353663,0.2968522251141502,0.021482342563001366,0.0034690743210560007,17031,2807,2288,2698,2288,21326,17031,18062,2698,0.8469473881646816,1.0,False,500,doc_id,0.0023934782345129777,-0.0026930350991518884,0.007564940733214587
2024,sadness,unframed_baseline,baseline,baseline,0.013310240985252854,0.29976025289635005,0.02293950052795242,0.009643639868641564,14747,2536,1948,2341,1949,18322,14747,15587,2339,0.8507259032856676,0.9991456642460487,False,500,doc_id,0.013346447852424287,0.007326982565476786,0.019775005338467423
2025,sadness,unframed_baseline,baseline,baseline,0.006096346614022495,0.30510221937315624,0.030819781446917126,0.01103017548057749,11940,2150,1581,1921,1581,14872,11940,12650,1921,0.8505917159763313,1.0,False,500,doc_id,0.006341153293412079,0.00014225113393687107,0.01258257316307925
2026,sadness,unframed_baseline,baseline,baseline,0.010268602198865997,0.30874556926359803,0.028824413981468677,0.007649116074309686,4132,1169,550,657,550,5145,4132,4408,657,0.856754130223518,1.0,False,500,doc_id,0.010366173247084392,-0.00020119225159886232,0.021004334460485732
