lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_mean,arousal_sd,valence_mean_for_reference,dominance_mean_for_reference,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_bootstrap_mean,arousal_ci_low,arousal_ci_high
2016,ADHD,mixed,target,ADHD,-0.023918239833778568,0.2549054490244915,0.08684382606114574,0.040489581478183434,1123,486,142,182,142,1404,1123,1198,182,0.8532763532763533,1.0,False,500,doc_id,-0.024336587048198997,-0.04011349052838655,-0.007571902068353706
2017,ADHD,mixed,target,ADHD,-0.029861107009556617,0.2488067871446854,0.08181678971330134,0.023747491899429884,1161,465,152,187,153,1433,1161,1241,186,0.8660153524075367,0.9946524064171123,False,500,doc_id,-0.02970223355893166,-0.04527487991015038,-0.013957702987498983
2018,ADHD,mixed,target,ADHD,-0.019985498998166856,0.2580746090335707,0.054839237754188516,0.020148252120902075,1117,447,151,182,152,1352,1117,1194,181,0.8831360946745562,0.9945054945054945,False,500,doc_id,-0.01941719267856086,-0.03767532976791597,-0.001008403616620979
2019,ADHD,mixed,target,ADHD,-0.037295850819763866,0.2609825769290646,0.07102008841139276,0.01658423143640535,851,364,120,142,120,1052,851,926,142,0.8802281368821293,1.0,False,500,doc_id,-0.03702534422399597,-0.05836665613898764,-0.018558486475568244
2020,ADHD,mixed,target,ADHD,-0.03834713215050474,0.26152620443149804,0.08598778423574997,0.03815235036198634,934,411,128,156,130,1184,934,1021,154,0.862331081081081,0.9871794871794872,False,500,doc_id,-0.037477138575050264,-0.0563230947123473,-0.019137435706718307
2021,ADHD,mixed,target,ADHD,-0.012097802529896817,0.2735891817822818,0.0759195505763502,0.029580317748132797,1103,457,150,180,150,1367,1103,1187,180,0.8683247988295537,1.0,False,500,doc_id,-0.0126741998289443,-0.02894128857568427,0.0040410296892360266
2022,ADHD,mixed,target,ADHD,-0.024828398814214416,0.24072996223543425,0.11572620736237758,0.05820800780517092,1269,487,152,193,152,1525,1269,1355,193,0.8885245901639345,1.0,False,500,doc_id,-0.024801054769170983,-0.03861573025270951,-0.011011723535173197
2023,ADHD,mixed,target,ADHD,-0.03267767476705529,0.260975942613153,0.09707652526103853,0.028949021398136442,1017,430,122,159,122,1226,1017,1083,158,0.8833605220228385,0.9937106918238994,False,500,doc_id,-0.03328334109948108,-0.04961522121209608,-0.0164696908568158
2024,ADHD,mixed,target,ADHD,-0.04251290208554259,0.25917860852885954,0.10021905266878756,0.05309697773064687,943,416,121,154,122,1162,943,997,153,0.8580034423407917,0.9935064935064936,False,500,doc_id,-0.04253103799934082,-0.05935982984886865,-0.025822477754962353
2025,ADHD,mixed,target,ADHD,-0.03345850599781897,0.2643922332962326,0.08642922210105417,0.05747391130498001,655,349,90,110,92,813,655,691,108,0.8499384993849939,0.9818181818181818,False,500,doc_id,-0.03354212674693369,-0.053974443577779606,-0.015801538040458286
2026,ADHD,mixed,target,ADHD,-0.027291847826086957,0.2666803494673549,0.1213590579710145,0.059962801932367145,276,162,38,44,38,335,276,289,44,0.8626865671641791,1.0,True,500,doc_id,-0.028965450625527255,-0.06326442395328687,0.0026794063378401027
2014,ADHD,substantive_core_overall,target,ADHD,-0.03338946290575454,0.2696211381781001,0.07286108977391853,0.019695172460178306,10266,1813,1092,1779,1093,12719,10266,11027,1765,0.8669706737951097,0.9921304103428893,False,500,doc_id,-0.033244634278954986,-0.03940340646932433,-0.027552002950946283
2015,ADHD,substantive_core_overall,target,ADHD,-0.0373246465331976,0.2672387710241183,0.07428144063642876,0.017104771330543302,8841,1694,990,1547,993,10950,8841,9490,1535,0.8666666666666667,0.9922430510665805,False,500,doc_id,-0.037626107004441675,-0.04482786626511808,-0.03054080388824026
2016,ADHD,substantive_core_overall,target,ADHD,-0.02470413127817972,0.26824793611189524,0.0634886704414386,0.019900047184649258,9537,1792,1097,1640,1098,11812,9537,10260,1632,0.8686081950558754,0.9951219512195122,False,500,doc_id,-0.0246125185906444,-0.030379721673494328,-0.018659567441463312
2017,ADHD,substantive_core_overall,target,ADHD,-0.02483053883210695,0.27022531661265714,0.06502782392931036,0.016136572496797914,9183,1738,1066,1589,1070,11350,9183,9864,1576,0.8690748898678414,0.9918187539332913,False,500,doc_id,-0.024910402386590157,-0.03161918143050378,-0.01888194684562126
2018,ADHD,substantive_core_overall,target,ADHD,-0.024019911144809676,0.2733546360308599,0.05932911655243844,0.011618242322425901,9609,1798,1064,1633,1067,11791,9609,10263,1625,0.8704096344669663,0.9951010410287814,False,500,doc_id,-0.02415432430210799,-0.030443902181141756,-0.017896187034097278
2019,ADHD,substantive_core_overall,target,ADHD,-0.01853158754613483,0.2773777991402923,0.053328487624013814,0.012423391911872595,8438,1600,955,1441,957,10414,8438,9060,1436,0.8699827155751872,0.9965301873698821,False,500,doc_id,-0.01845173994383066,-0.02567554957258215,-0.011137712757272029
2020,ADHD,substantive_core_overall,target,ADHD,-0.027035369241075035,0.2688206139490714,0.06556366809881849,0.018240815171569478,8246,1625,968,1427,972,10257,8246,8896,1412,0.8673101296675441,0.9894884372810091,False,500,doc_id,-0.027242660594350376,-0.034289225872102674,-0.02076848377168895
2021,ADHD,substantive_core_overall,target,ADHD,-0.02117962908123864,0.28211151619452685,0.05977713374094913,0.01172533779271982,8201,1672,940,1407,941,10033,8201,8780,1401,0.8751121299710953,0.9957356076759062,False,500,doc_id,-0.021124409925113424,-0.027693789194810553,-0.01412114783776673
