analysis_unit,frame_stratum,lsc_year,neighbour,cosine_similarity,target_token,target_token_count,neighbour_token_count,annual_top5_rank,plot_order
ADHD,lived_only,2015,help,0.44522011280059814,adhd_concept,346,33,,1
ADHD,lived_only,2016,help,0.4514085650444031,adhd_concept,475,56,,1
ADHD,lived_only,2017,help,0.2842993140220642,adhd_concept,436,54,,1
ADHD,lived_only,2018,help,0.3735339343547821,adhd_concept,391,57,,1
ADHD,lived_only,2019,help,0.395004540681839,adhd_concept,456,54,,1
ADHD,lived_only,2020,help,0.3710015118122101,adhd_concept,465,72,,1
ADHD,lived_only,2021,help,0.39168405532836914,adhd_concept,413,69,,1
ADHD,lived_only,2022,help,0.4769182503223419,adhd_concept,578,76,1.0,1
ADHD,lived_only,2023,help,0.42585858702659607,adhd_concept,438,76,,1
ADHD,lived_only,2024,help,0.3933347165584564,adhd_concept,491,68,,1
ADHD,lived_only,2025,help,0.5161044597625732,adhd_concept,342,55,1.0,1
ADHD,lived_only,2026,help,0.4937421381473541,adhd_concept,171,14,3.0,1
ADHD,lived_only,2014,child,0.36588993668556213,adhd_concept,453,150,,2
ADHD,lived_only,2015,child,0.4982468783855438,adhd_concept,346,122,,2
ADHD,lived_only,2016,child,0.5632206797599792,adhd_concept,475,107,1.0,2
ADHD,lived_only,2017,child,0.38587287068367004,adhd_concept,436,135,,2
ADHD,lived_only,2018,child,0.4090019166469574,adhd_concept,391,106,,2
ADHD,lived_only,2019,child,0.3001425862312317,adhd_concept,456,131,,2
ADHD,lived_only,2020,child,0.4936881363391876,adhd_concept,465,118,2.0,2
ADHD,lived_only,2021,child,0.3653547167778015,adhd_concept,413,96,,2
ADHD,lived_only,2022,child,0.4293575882911682,adhd_concept,578,86,,2
ADHD,lived_only,2023,child,0.23089541494846344,adhd_concept,438,82,,2
ADHD,lived_only,2024,child,0.27778393030166626,adhd_concept,491,63,,2
ADHD,lived_only,2025,child,0.3849884271621704,adhd_concept,342,60,,2
ADHD,lived_only,2026,child,0.32613834738731384,adhd_concept,171,20,,2
ADHD,lived_only,2014,diagnose,0.3398299515247345,adhd_concept,453,46,,3
ADHD,lived_only,2015,diagnose,0.5383179783821106,adhd_concept,346,20,3.0,3
ADHD,lived_only,2016,diagnose,0.3085140287876129,adhd_concept,475,25,,3
ADHD,lived_only,2017,diagnose,0.39586591720581055,adhd_concept,436,16,,3
ADHD,lived_only,2018,diagnose,0.3856061100959778,adhd_concept,391,25,,3
ADHD,lived_only,2019,diagnose,0.19837160408496857,adhd_concept,456,18,,3
ADHD,lived_only,2020,diagnose,0.22366759181022644,adhd_concept,465,26,,3
ADHD,lived_only,2021,diagnose,0.4073598384857178,adhd_concept,413,33,,3
ADHD,lived_only,2022,diagnose,0.46131107211112976,adhd_concept,578,26,3.0,3
ADHD,lived_only,2023,diagnose,0.26660963892936707,adhd_concept,438,18,,3
ADHD,lived_only,2024,diagnose,0.2658810019493103,adhd_concept,491,45,,3
ADHD,lived_only,2025,diagnose,0.23225493729114532,adhd_concept,342,17,,3
ADHD,lived_only,2026,diagnose,0.26687386631965637,adhd_concept,171,10,,3
ADHD,substantive_core_overall,2014,child,0.5378463864326477,adhd_concept,3411,1218,2.0,1
ADHD,substantive_core_overall,2015,child,0.5602184534072876,adhd_concept,2851,1003,1.0,1
ADHD,substantive_core_overall,2016,child,0.5496021509170532,adhd_concept,3017,948,1.0,1
ADHD,substantive_core_overall,2017,child,0.5270639061927795,adhd_concept,2752,899,2.0,1
ADHD,substantive_core_overall,2018,child,0.5548487305641174,adhd_concept,2827,906,2.0,1
ADHD,substantive_core_overall,2019,child,0.5481171607971191,adhd_concept,2626,846,1.0,1
ADHD,substantive_core_overall,2020,child,0.49666357040405273,adhd_concept,2468,852,2.0,1
ADHD,substantive_core_overall,2021,child,0.5144534707069397,adhd_concept,2389,811,2.0,1
ADHD,substantive_core_overall,2022,child,0.4858704209327698,adhd_concept,2705,655,2.0,1
ADHD,substantive_core_overall,2023,child,0.47701865434646606,adhd_concept,2126,672,1.0,1
ADHD,substantive_core_overall,2024,child,0.47383400797843933,adhd_concept,2090,477,1.0,1
ADHD,substantive_core_overall,2025,child,0.3598698079586029,adhd_concept,1596,368,,1
ADHD,substantive_core_overall,2026,child,0.48191073536872864,adhd_concept,681,149,1.0,1
ADHD,substantive_core_overall,2014,disorder,0.5514203906059265,adhd_concept,3411,947,1.0,2
ADHD,substantive_core_overall,2015,disorder,0.5571561455726624,adhd_concept,2851,876,2.0,2
ADHD,substantive_core_overall,2016,disorder,0.4979781210422516,adhd_concept,3017,866,2.0,2
ADHD,substantive_core_overall,2017,disorder,0.5991113781929016,adhd_concept,2752,871,1.0,2
ADHD,substantive_core_overall,2018,disorder,0.5849269032478333,adhd_concept,2827,851,1.0,2
ADHD,substantive_core_overall,2019,disorder,0.5325852036476135,adhd_concept,2626,672,2.0,2
ADHD,substantive_core_overall,2020,disorder,0.5551310181617737,adhd_concept,2468,665,1.0,2
ADHD,substantive_core_overall,2021,disorder,0.5710521340370178,adhd_concept,2389,698,1.0,2
ADHD,substantive_core_overall,2022,disorder,0.48555275797843933,adhd_concept,2705,613,3.0,2
ADHD,substantive_core_overall,2023,disorder,0.439079225063324,adhd_concept,2126,600,3.0,2
ADHD,substantive_core_overall,2024,disorder,0.41004419326782227,adhd_concept,2090,483,5.0,2
ADHD,substantive_core_overall,2025,disorder,0.3846627473831177,adhd_concept,1596,389,,2
ADHD,substantive_core_overall,2026,disorder,0.4165862202644348,adhd_concept,681,157,4.0,2
ADHD,substantive_core_overall,2014,symptom,0.33678320050239563,adhd_concept,3411,256,,3
ADHD,substantive_core_overall,2015,symptom,0.46484339237213135,adhd_concept,2851,287,3.0,3
ADHD,substantive_core_overall,2016,symptom,0.4404886066913605,adhd_concept,3017,284,3.0,3
ADHD,substantive_core_overall,2017,symptom,0.44624778628349304,adhd_concept,2752,279,5.0,3
ADHD,substantive_core_overall,2018,symptom,0.4800170958042145,adhd_concept,2827,327,3.0,3
ADHD,substantive_core_overall,2019,symptom,0.41964662075042725,adhd_concept,2626,269,4.0,3
ADHD,substantive_core_overall,2020,symptom,0.34497448801994324,adhd_concept,2468,241,,3
ADHD,substantive_core_overall,2021,symptom,0.39951014518737793,adhd_concept,2389,291,,3
ADHD,substantive_core_overall,2022,symptom,0.5414605140686035,adhd_concept,2705,365,1.0,3
ADHD,substantive_core_overall,2023,symptom,0.4124872386455536,adhd_concept,2126,264,,3
ADHD,substantive_core_overall,2024,symptom,0.46831709146499634,adhd_concept,2090,225,2.0,3
ADHD,substantive_core_overall,2025,symptom,0.43877556920051575,adhd_concept,1596,128,2.0,3
ADHD,substantive_core_overall,2026,symptom,0.2853701412677765,adhd_concept,681,45,,3
ADHD,substantive_core_overall,2014,diagnose,0.44645610451698303,adhd_concept,3411,274,3.0,4
ADHD,substantive_core_overall,2015,diagnose,0.46411189436912537,adhd_concept,2851,273,4.0,4
ADHD,substantive_core_overall,2016,diagnose,0.36430981755256653,adhd_concept,3017,194,,4
ADHD,substantive_core_overall,2017,diagnose,0.35092270374298096,adhd_concept,2752,195,,4
ADHD,substantive_core_overall,2018,diagnose,0.31959134340286255,adhd_concept,2827,198,,4
ADHD,substantive_core_overall,2019,diagnose,0.38748350739479065,adhd_concept,2626,139,,4
ADHD,substantive_core_overall,2020,diagnose,0.35912302136421204,adhd_concept,2468,156,,4
ADHD,substantive_core_overall,2021,diagnose,0.4173116385936737,adhd_concept,2389,175,3.0,4
ADHD,substantive_core_overall,2022,diagnose,0.4045853614807129,adhd_concept,2705,148,,4
ADHD,substantive_core_overall,2023,diagnose,0.36765363812446594,adhd_concept,2126,147,,4
ADHD,substantive_core_overall,2024,diagnose,0.4243431091308594,adhd_concept,2090,137,4.0,4
ADHD,substantive_core_overall,2025,diagnose,0.2897850275039673,adhd_concept,1596,66,,4
ADHD,substantive_core_overall,2026,diagnose,0.2603931427001953,adhd_concept,681,45,,4
ADHD,substantive_core_overall,2014,condition,0.4344571828842163,adhd_concept,3411,242,4.0,5
ADHD,substantive_core_overall,2015,condition,0.3907734155654907,adhd_concept,2851,204,,5
ADHD,substantive_core_overall,2016,condition,0.43243491649627686,adhd_concept,3017,225,4.0,5
ADHD,substantive_core_overall,2017,condition,0.3934985101222992,adhd_concept,2752,204,,5
ADHD,substantive_core_overall,2018,condition,0.4467497169971466,adhd_concept,2827,234,,5
ADHD,substantive_core_overall,2019,condition,0.38954687118530273,adhd_concept,2626,217,,5
ADHD,substantive_core_overall,2020,condition,0.35272151231765747,adhd_concept,2468,169,,5
ADHD,substantive_core_overall,2021,condition,0.3661719560623169,adhd_concept,2389,196,,5
ADHD,substantive_core_overall,2022,condition,0.44944506883621216,adhd_concept,2705,248,5.0,5
ADHD,substantive_core_overall,2023,condition,0.4170547425746918,adhd_concept,2126,222,5.0,5
ADHD,substantive_core_overall,2024,condition,0.3461892008781433,adhd_concept,2090,220,,5
ADHD,substantive_core_overall,2025,condition,0.3875891864299774,adhd_concept,1596,208,,5
ADHD,substantive_core_overall,2026,condition,0.3575630187988281,adhd_concept,681,79,,5
Autism,clinical_only,2014,child,0.6861834526062012,autism_concept,5850,1955,1.0,1
Autism,clinical_only,2015,child,0.6934122443199158,autism_concept,3911,1437,1.0,1
Autism,clinical_only,2016,child,0.6605719327926636,autism_concept,4108,1503,1.0,1
Autism,clinical_only,2017,child,0.6070299744606018,autism_concept,3714,1225,1.0,1
Autism,clinical_only,2018,child,0.6756912469863892,autism_concept,3671,1354,1.0,1
Autism,clinical_only,2019,child,0.6458337903022766,autism_concept,3295,1173,1.0,1
Autism,clinical_only,2020,child,0.6641221046447754,autism_concept,2886,945,1.0,1
Autism,clinical_only,2021,child,0.6459781527519226,autism_concept,2707,994,1.0,1
Autism,clinical_only,2022,child,0.6284930109977722,autism_concept,2247,801,1.0,1
Autism,clinical_only,2023,child,0.6447554230690002,autism_concept,2161,776,1.0,1
Autism,clinical_only,2024,child,0.5657874345779419,autism_concept,1741,593,1.0,1
Autism,clinical_only,2025,child,0.5685191750526428,autism_concept,2025,710,1.0,1
Autism,clinical_only,2026,child,0.5648797750473022,autism_concept,666,286,1.0,1
Autism,clinical_only,2014,disorder,0.5969069600105286,autism_concept,5850,1276,2.0,2
Autism,clinical_only,2015,disorder,0.5717204809188843,autism_concept,3911,889,2.0,2
Autism,clinical_only,2016,disorder,0.5738227963447571,autism_concept,4108,1019,2.0,2
Autism,clinical_only,2017,disorder,0.5057517290115356,autism_concept,3714,816,2.0,2
Autism,clinical_only,2018,disorder,0.5769408941268921,autism_concept,3671,818,2.0,2
Autism,clinical_only,2019,disorder,0.5597395896911621,autism_concept,3295,632,2.0,2
Autism,clinical_only,2020,disorder,0.467411607503891,autism_concept,2886,705,2.0,2
Autism,clinical_only,2021,disorder,0.5023767352104187,autism_concept,2707,626,2.0,2
Autism,clinical_only,2022,disorder,0.5505244731903076,autism_concept,2247,550,2.0,2
Autism,clinical_only,2023,disorder,0.39923062920570374,autism_concept,2161,395,5.0,2
Autism,clinical_only,2024,disorder,0.5206131935119629,autism_concept,1741,346,2.0,2
Autism,clinical_only,2025,disorder,0.4029653072357178,autism_concept,2025,261,5.0,2
Autism,clinical_only,2026,disorder,0.5201357007026672,autism_concept,666,90,2.0,2
Autism,clinical_only,2014,research,0.4196864664554596,autism_concept,5850,630,,3
Autism,clinical_only,2015,research,0.4345415532588959,autism_concept,3911,486,4.0,3
Autism,clinical_only,2016,research,0.41028687357902527,autism_concept,4108,496,4.0,3
Autism,clinical_only,2017,research,0.3626837730407715,autism_concept,3714,390,,3
Autism,clinical_only,2018,research,0.3983704149723053,autism_concept,3671,364,,3
Autism,clinical_only,2019,research,0.380829781293869,autism_concept,3295,305,,3
Autism,clinical_only,2020,research,0.45934927463531494,autism_concept,2886,291,4.0,3
Autism,clinical_only,2021,research,0.4169189929962158,autism_concept,2707,308,4.0,3
Autism,clinical_only,2022,research,0.44054538011550903,autism_concept,2247,250,4.0,3
Autism,clinical_only,2023,research,0.38041597604751587,autism_concept,2161,223,,3
Autism,clinical_only,2024,research,0.4484265446662903,autism_concept,1741,135,4.0,3
Autism,clinical_only,2025,research,0.48021790385246277,autism_concept,2025,199,2.0,3
Autism,clinical_only,2026,research,0.4042687714099884,autism_concept,666,79,4.0,3
Autism,clinical_only,2014,study,0.4356708824634552,autism_concept,5850,965,,4
Autism,clinical_only,2015,study,0.48037219047546387,autism_concept,3911,638,3.0,4
Autism,clinical_only,2016,study,0.39188769459724426,autism_concept,4108,562,,4
Autism,clinical_only,2017,study,0.355228990316391,autism_concept,3714,461,,4
Autism,clinical_only,2018,study,0.43387240171432495,autism_concept,3671,422,,4
Autism,clinical_only,2019,study,0.42161989212036133,autism_concept,3295,485,3.0,4
Autism,clinical_only,2020,study,0.4261762499809265,autism_concept,2886,282,,4
Autism,clinical_only,2021,study,0.3612923324108124,autism_concept,2707,322,,4
Autism,clinical_only,2022,study,0.4073165953159332,autism_concept,2247,225,,4
Autism,clinical_only,2023,study,0.3429132103919983,autism_concept,2161,148,,4
Autism,clinical_only,2024,study,0.44855237007141113,autism_concept,1741,156,3.0,4
Autism,clinical_only,2025,study,0.38531294465065,autism_concept,2025,156,,4
Autism,clinical_only,2026,study,0.34719017148017883,autism_concept,666,72,,4
Autism,clinical_only,2014,developmental,0.4476885199546814,autism_concept,5850,446,3.0,5
Autism,clinical_only,2015,developmental,0.31374606490135193,autism_concept,3911,273,,5
Autism,clinical_only,2016,developmental,0.36142903566360474,autism_concept,4108,348,,5
Autism,clinical_only,2017,developmental,0.32267898321151733,autism_concept,3714,266,,5
Autism,clinical_only,2018,developmental,0.2946709990501404,autism_concept,3671,277,,5
Autism,clinical_only,2019,developmental,0.3240307569503784,autism_concept,3295,240,,5
Autism,clinical_only,2020,developmental,0.3816677927970886,autism_concept,2886,217,,5
Autism,clinical_only,2021,developmental,0.386881023645401,autism_concept,2707,214,5.0,5
Autism,clinical_only,2022,developmental,0.3488001525402069,autism_concept,2247,208,,5
Autism,clinical_only,2023,developmental,0.453981876373291,autism_concept,2161,156,2.0,5
Autism,clinical_only,2024,developmental,0.3672841191291809,autism_concept,1741,135,,5
Autism,clinical_only,2025,developmental,0.37350037693977356,autism_concept,2025,156,,5
Autism,clinical_only,2026,developmental,0.3775255084037781,autism_concept,666,53,,5
Autism,lived_only,2014,people,0.4114614427089691,autism_concept,2163,349,2.0,1
Autism,lived_only,2015,people,0.45666632056236267,autism_concept,1786,280,2.0,1
Autism,lived_only,2016,people,0.4380943775177002,autism_concept,2260,481,2.0,1
Autism,lived_only,2017,people,0.46393561363220215,autism_concept,2288,476,1.0,1
Autism,lived_only,2018,people,0.5558989644050598,autism_concept,2079,453,1.0,1
Autism,lived_only,2019,people,0.483548641204834,autism_concept,2086,462,1.0,1
Autism,lived_only,2020,people,0.4189980626106262,autism_concept,1713,428,2.0,1
Autism,lived_only,2021,people,0.4388589859008789,autism_concept,1708,393,2.0,1
Autism,lived_only,2022,people,0.4525226056575775,autism_concept,1582,383,1.0,1
Autism,lived_only,2023,people,0.4397406280040741,autism_concept,1212,261,1.0,1
Autism,lived_only,2024,people,0.5676175951957703,autism_concept,1113,267,1.0,1
Autism,lived_only,2025,people,0.3631691038608551,autism_concept,1170,154,3.0,1
Autism,lived_only,2026,people,0.4199063181877136,autism_concept,425,77,1.0,1
Autism,lived_only,2014,child,0.5052981376647949,autism_concept,2163,671,1.0,2
Autism,lived_only,2015,child,0.5000790953636169,autism_concept,1786,526,1.0,2
Autism,lived_only,2016,child,0.47041457891464233,autism_concept,2260,674,1.0,2
Autism,lived_only,2017,child,0.4145163893699646,autism_concept,2288,627,2.0,2
Autism,lived_only,2018,child,0.4299554228782654,autism_concept,2079,531,2.0,2
Autism,lived_only,2019,child,0.4320470988750458,autism_concept,2086,573,2.0,2
Autism,lived_only,2020,child,0.5030525922775269,autism_concept,1713,495,1.0,2
Autism,lived_only,2021,child,0.48136159777641296,autism_concept,1708,489,1.0,2
Autism,lived_only,2022,child,0.3872601389884949,autism_concept,1582,359,3.0,2
Autism,lived_only,2023,child,0.31884118914604187,autism_concept,1212,212,,2
Autism,lived_only,2024,child,0.3693598806858063,autism_concept,1113,271,,2
Autism,lived_only,2025,child,0.4151550531387329,autism_concept,1170,224,1.0,2
Autism,lived_only,2026,child,0.36426252126693726,autism_concept,425,114,,2
Autism,lived_only,2014,support,0.24073797464370728,autism_concept,2163,157,,3
Autism,lived_only,2015,support,0.38443464040756226,autism_concept,1786,176,3.0,3
Autism,lived_only,2016,support,0.2659968435764313,autism_concept,2260,213,,3
Autism,lived_only,2017,support,0.34958237409591675,autism_concept,2288,228,5.0,3
Autism,lived_only,2018,support,0.2863728106021881,autism_concept,2079,192,,3
Autism,lived_only,2019,support,0.40541911125183105,autism_concept,2086,248,4.0,3
Autism,lived_only,2020,support,0.3066369891166687,autism_concept,1713,193,,3
Autism,lived_only,2021,support,0.31600189208984375,autism_concept,1708,171,,3
Autism,lived_only,2022,support,0.37788403034210205,autism_concept,1582,193,4.0,3
Autism,lived_only,2023,support,0.3504346013069153,autism_concept,1212,149,3.0,3
Autism,lived_only,2024,support,0.349514365196228,autism_concept,1113,197,,3
Autism,lived_only,2025,support,0.3401624858379364,autism_concept,1170,173,,3
Autism,lived_only,2026,support,0.38043445348739624,autism_concept,425,79,,3
Autism,lived_only,2014,life,0.25353679060935974,autism_concept,2163,187,,4
Autism,lived_only,2015,life,0.3146571218967438,autism_concept,1786,133,,4
Autism,lived_only,2016,life,0.29061663150787354,autism_concept,2260,192,,4
Autism,lived_only,2017,life,0.28397831320762634,autism_concept,2288,284,,4
Autism,lived_only,2018,life,0.29517170786857605,autism_concept,2079,195,,4
Autism,lived_only,2019,life,0.32107043266296387,autism_concept,2086,162,,4
Autism,lived_only,2020,life,0.31282228231430054,autism_concept,1713,178,,4
Autism,lived_only,2021,life,0.351972371339798,autism_concept,1708,168,,4
Autism,lived_only,2022,life,0.3984382152557373,autism_concept,1582,135,2.0,4
Autism,lived_only,2023,life,0.31836873292922974,autism_concept,1212,103,,4
Autism,lived_only,2024,life,0.3908393979072571,autism_concept,1113,116,4.0,4
Autism,lived_only,2025,life,0.3400725722312927,autism_concept,1170,138,,4
Autism,lived_only,2026,life,0.2753745913505554,autism_concept,425,41,,4
Autism,lived_only,2014,family,0.32010117173194885,autism_concept,2163,256,,5
Autism,lived_only,2015,family,0.33482587337493896,autism_concept,1786,188,,5
Autism,lived_only,2016,family,0.3366222679615021,autism_concept,2260,242,,5
Autism,lived_only,2017,family,0.353767991065979,autism_concept,2288,299,3.0,5
Autism,lived_only,2018,family,0.24487566947937012,autism_concept,2079,194,,5
Autism,lived_only,2019,family,0.31328627467155457,autism_concept,2086,198,,5
Autism,lived_only,2020,family,0.33349841833114624,autism_concept,1713,212,,5
Autism,lived_only,2021,family,0.28896093368530273,autism_concept,1708,177,,5
Autism,lived_only,2022,family,0.3301823139190674,autism_concept,1582,163,,5
Autism,lived_only,2023,family,0.22079776227474213,autism_concept,1212,123,,5
Autism,lived_only,2024,family,0.31722384691238403,autism_concept,1113,127,,5
Autism,lived_only,2025,family,0.32911384105682373,autism_concept,1170,123,,5
Autism,lived_only,2026,family,0.4096325933933258,autism_concept,425,55,2.0,5
Autism,substantive_core_overall,2014,child,0.7292969226837158,autism_concept,9306,3121,1.0,1
Autism,substantive_core_overall,2015,child,0.7394987940788269,autism_concept,6753,2357,1.0,1
Autism,substantive_core_overall,2016,child,0.7064035534858704,autism_concept,7656,2613,1.0,1
Autism,substantive_core_overall,2017,child,0.6453501582145691,autism_concept,7169,2379,1.0,1
Autism,substantive_core_overall,2018,child,0.6458824276924133,autism_concept,6934,2328,1.0,1
Autism,substantive_core_overall,2019,child,0.7101013660430908,autism_concept,6407,2084,1.0,1
Autism,substantive_core_overall,2020,child,0.6491842865943909,autism_concept,5627,1861,1.0,1
Autism,substantive_core_overall,2021,child,0.6854645013809204,autism_concept,5547,1895,1.0,1
Autism,substantive_core_overall,2022,child,0.6417208909988403,autism_concept,4664,1486,1.0,1
Autism,substantive_core_overall,2023,child,0.6748402118682861,autism_concept,4110,1223,1.0,1
Autism,substantive_core_overall,2024,child,0.6122806072235107,autism_concept,3494,1046,1.0,1
Autism,substantive_core_overall,2025,child,0.6018079519271851,autism_concept,3849,1145,1.0,1
Autism,substantive_core_overall,2026,child,0.6437057256698608,autism_concept,1349,503,1.0,1
Autism,substantive_core_overall,2014,people,0.44883325695991516,autism_concept,9306,972,,2
Autism,substantive_core_overall,2015,people,0.45803433656692505,autism_concept,6753,831,3.0,2
Autism,substantive_core_overall,2016,people,0.5348315238952637,autism_concept,7656,1017,2.0,2
Autism,substantive_core_overall,2017,people,0.5156607627868652,autism_concept,7169,976,2.0,2
Autism,substantive_core_overall,2018,people,0.6414194107055664,autism_concept,6934,1053,2.0,2
Autism,substantive_core_overall,2019,people,0.5066431164741516,autism_concept,6407,981,3.0,2
Autism,substantive_core_overall,2020,people,0.55491703748703,autism_concept,5627,975,2.0,2
Autism,substantive_core_overall,2021,people,0.502297043800354,autism_concept,5547,872,3.0,2
Autism,substantive_core_overall,2022,people,0.5349188446998596,autism_concept,4664,844,2.0,2
Autism,substantive_core_overall,2023,people,0.5202619433403015,autism_concept,4110,581,2.0,2
Autism,substantive_core_overall,2024,people,0.5813396573066711,autism_concept,3494,551,2.0,2
Autism,substantive_core_overall,2025,people,0.41068366169929504,autism_concept,3849,345,,2
Autism,substantive_core_overall,2026,people,0.42945706844329834,autism_concept,1349,144,5.0,2
Autism,substantive_core_overall,2014,disorder,0.6010152101516724,autism_concept,9306,1476,2.0,3
Autism,substantive_core_overall,2015,disorder,0.545282781124115,autism_concept,6753,1049,2.0,3
Autism,substantive_core_overall,2016,disorder,0.5147817134857178,autism_concept,7656,1182,3.0,3
Autism,substantive_core_overall,2017,disorder,0.5099599361419678,autism_concept,7169,961,4.0,3
