lsc_year,analysis_unit,term_role,target_group,raw_form,mentions,documents,domains,capped_rows
2021,loneliness,baseline,baseline,loneliness,3852,3024,2636,399
2021,sadness,baseline,baseline,sadness,4219,3607,3296,147
2022,ADHD,target,ADHD,adhd,2000,1329,1173,640
2022,ADHD,target,ADHD,attention_deficit,344,312,297,89
2022,Autism,target,Autism,asd_disambiguated,58,53,51,31
2022,Autism,target,Autism,autism,2719,1854,1645,872
2022,Autism,target,Autism,autism_spectrum,581,504,469,171
2022,Autism,target,Autism,autistic,824,611,569,300
2022,frustration,baseline,baseline,frustration,6963,6275,5595,123
2022,loneliness,baseline,baseline,loneliness,2955,2372,2166,267
2022,sadness,baseline,baseline,sadness,3768,3229,2906,195
2023,ADHD,target,ADHD,adhd,1576,1047,919,471
2023,ADHD,target,ADHD,attention_deficit,326,281,270,111
2023,Autism,target,Autism,asd_disambiguated,57,49,47,35
2023,Autism,target,Autism,autism,2294,1513,1343,813
2023,Autism,target,Autism,autism_spectrum,519,423,400,172
2023,Autism,target,Autism,autistic,637,482,454,219
2023,frustration,baseline,baseline,frustration,6377,5618,5065,150
2023,loneliness,baseline,baseline,loneliness,2588,1985,1786,354
2023,sadness,baseline,baseline,sadness,2698,2288,2113,141
2024,ADHD,target,ADHD,adhd,1445,964,869,453
2024,ADHD,target,ADHD,attention_deficit,293,250,236,81
2024,Autism,target,Autism,asd_disambiguated,43,38,35,23
2024,Autism,target,Autism,autism,2010,1357,1140,713
2024,Autism,target,Autism,autism_spectrum,504,408,367,164
2024,Autism,target,Autism,autistic,581,428,379,231
2024,frustration,baseline,baseline,frustration,6881,5957,5369,294
2024,loneliness,baseline,baseline,loneliness,2207,1733,1579,276
2024,sadness,baseline,baseline,sadness,2341,1949,1741,162
2025,ADHD,target,ADHD,adhd,1372,976,865,363
2025,ADHD,target,ADHD,attention_deficit,203,173,164,69
2025,Autism,target,Autism,asd_disambiguated,51,43,42,26
2025,Autism,target,Autism,autism,3348,2583,2022,760
2025,Autism,target,Autism,autism_spectrum,480,397,331,193
2025,Autism,target,Autism,autistic,640,512,467,185
2025,frustration,baseline,baseline,frustration,6928,5902,5329,333
2025,loneliness,baseline,baseline,loneliness,1993,1566,1462,213
2025,sadness,baseline,baseline,sadness,1921,1581,1409,114
2026,ADHD,target,ADHD,adhd,615,405,355,198
2026,ADHD,target,ADHD,attention_deficit,86,73,71,30
2026,Autism,target,Autism,asd_disambiguated,21,21,15,6
2026,Autism,target,Autism,autism,795,511,458,307
2026,Autism,target,Autism,autism_spectrum,181,151,137,54
2026,Autism,target,Autism,autistic,225,166,150,77
2026,frustration,baseline,baseline,frustration,3851,3276,2957,162
2026,loneliness,baseline,baseline,loneliness,719,573,514,84
2026,sadness,baseline,baseline,sadness,657,550,500,30
