measure,measure_order,analysis_unit,term_role,target_group,frame_stratum,year_basis,index_name,n_years,year_center,linear_intercept,linear_slope_per_year,linear_slope_se,linear_p_value,linear_r_squared,linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_adj_r_squared,quadratic_delta_adj_r_squared,source_path
Intensity,3,Autism,target,Autism,substantive_core_overall,publication year,arousal_mean,13,2020.0,-0.0283537981634466,0.0011373291301841,0.0005593748620725,0.0668801930347188,0.2731579267365676,0.20708137462171,0.5226451250481227,2.345848414878616,-0.23630596592254,False,,,0.2024124149990649,-0.0046689596226451,data/processed/lsc/intensity/lsc_intensity_trend_models.csv
Breadth,4,frustration,baseline,baseline,unframed_baseline,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.0922637108262107,0.0019509059196559,0.0005597756683494,0.0051018942054445,0.5247624102797983,0.4815589930325072,0.724404866272859,1.72971395947782,0.0668408539325411,False,,,0.5457268069418749,0.0641678139093676,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
Breadth,4,loneliness,baseline,baseline,unframed_baseline,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.069130069367462,-0.0007192229165903,0.0003665805201724,0.0755591001312689,0.2592272180114887,0.1918842378307149,-0.509143612364418,1.952139682444496,-0.0556544061168007,False,,,0.1943836113746394,0.0024993735439244,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
Breadth,4,sadness,baseline,baseline,unframed_baseline,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.094209402077693,-0.0010241094600204,0.0003032229278794,0.006170732848132,0.5090803952581132,0.464451340281578,-0.7134987002497714,1.2449043766671084,0.3597203111356982,True,-0.0008490519913347,0.131231450440245,0.4229850390812677,-0.0414663012003102,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
Breadth,4,ADHD,target,ADHD,clinical_only,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.1409376077674965,-0.0017869136367948,0.0003368507480465,0.0002505728950628,0.7189613106104213,0.6934123388477325,-0.8479158629312358,1.658144591685167,0.1680595071421103,False,,,0.6643248408155774,-0.029087498032155,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
Breadth,4,ADHD,target,ADHD,lived_only,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.0791856886732718,-0.0003664272929007,0.0006100949098967,0.5602728599395381,0.0317522592691326,-0.0562702626154916,-0.1781916363613416,3.205371186755053,-0.6077138567623909,True,-0.0004368629232569,0.2469335465122979,-0.1618972708340904,-0.1056270082185988,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
Breadth,4,ADHD,target,ADHD,mixed,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.0923323659280654,-0.0013921812009279,0.0006535702226055,0.0565680590890068,0.292030817584947,0.2276699828199422,-0.5403987579417138,2.1841416810309577,-0.2019529776684583,False,,,0.2022626697476053,-0.0254073130723369,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
Breadth,4,ADHD,target,ADHD,substantive_core_overall,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.1269896980643977,-0.0020374913440721,0.0003133850514806,4.418269425540856e-05,0.7935058220423294,0.7747336240461775,-0.8907894375453322,2.4561484366505955,-0.2423916177052057,False,,,0.7717518821516138,-0.0029817418945636,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
Breadth,4,Autism,target,Autism,clinical_only,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.0934876686201102,0.0007494536713758,0.0003145220955337,0.0363187483199891,0.3404442934522215,0.2804846837660598,0.5834760435975256,0.9607952470708848,0.3937354975930067,True,0.0001568265819714,0.7547916302192499,0.7893460845353238,0.508861400769264,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
Breadth,4,Autism,target,Autism,lived_only,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.1001406555376532,-0.0010404425140852,0.0004164140495755,0.0295811024949785,0.3620557632112312,0.3040608325940703,-0.6017106972717299,1.514106840216305,0.2408053014700348,False,,,0.460364045958804,0.1563032133647336,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
Breadth,4,Autism,target,Autism,mixed,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.0976884297200754,-0.0002940246753826,0.0005702166760194,0.616313098411462,0.0236005737126218,-0.0651630104953218,-0.1536247822215617,1.6928410938469662,-0.1799261302512762,False,,,0.2198436618740042,0.2850066723693261,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
Breadth,4,Autism,target,Autism,substantive_core_overall,publication year,breadth_mean_pairwise_cosine_distance,13,2020.0,0.0992610972203835,0.0001187171607088,0.0002449620999605,0.6374416078577795,0.0209055271690306,-0.0681030612701485,0.1445874377981378,1.1759142352704148,0.3793611988674685,True,-0.0001331852011732,0.7526593741759209,0.5107747183450391,0.5788777796151876,data/processed/lsc/breadth/lsc_breadth_trend_models.csv
