year,source_year,analysis_role,analysis_unit,tokens_minlen,candidate_hits,validated_hits_wet,validated_hits_warc,candidate_hits_per_million_minlen_tokens,wet_salience_per_million_minlen_tokens,primary_salience_per_million_tokens,relative_to_2014,wet_over_candidate_validation_rate,warc_over_wet_validation_rate,pct_warc_validated_docs_with_published_ts
2014,2014,baseline,loneliness,3439497544.0,3640.0,2002.0,1102.0,1.0582941122751386,0.5820617617513263,0.3203956350898909,1.0,0.55,0.5504495504495505,97.347595
2015,2015,baseline,loneliness,3426098147.0,3734.0,1804.0,984.0,1.089869536653411,0.5265465035143957,0.2872071837351249,0.8964141588712512,0.48312801285484736,0.5454545454545454,97.077497
2016,2016,baseline,loneliness,5709595419.0,4558.0,2867.0,1723.0,0.7983052502865965,0.5021371550179184,0.3017726955339636,0.9418751770738,0.6290039491004826,0.600976630624346,97.575085
2017,2017,baseline,loneliness,4626728607.0,4699.0,2240.0,1187.0,1.015620408962535,0.4841433743511552,0.2565527613191166,0.8007373797309617,0.4766971696105554,0.5299107142857142,97.200861
2018,2018,baseline,loneliness,4316885807.0,4293.0,2536.0,1268.0,0.9944668893114412,0.5874605244103924,0.2937302622051962,0.9167736074893362,0.590729093873748,0.5,97.506285
2019,2019,baseline,loneliness,4091311736.0,4288.0,2772.0,1397.0,1.048074621708562,0.6775333142201805,0.3414552813728687,1.0657301285551823,0.6464552238805971,0.503968253968254,96.059658
2020,2020,baseline,loneliness,5383635819.0,5664.0,3411.0,1673.0,1.0520771074467063,0.6335866902367082,0.3107565326197634,0.9699150006602832,0.6022245762711864,0.4904720023453532,97.359794
2021,2021,baseline,loneliness,4837622244.0,5205.0,3555.0,1796.0,1.075941803115291,0.7348651508309048,0.3712567681834894,1.1587447752817506,0.6829971181556196,0.5052039381153305,98.121324
2022,2022,baseline,loneliness,4017628393.0,4105.0,2759.0,1434.0,1.0217470603185277,0.6867235418803453,0.3569269876971421,1.1140195077782564,0.6721071863580999,0.5197535338890903,98.307159
2023,2023,baseline,loneliness,3577250767.0,3283.0,2069.0,1153.0,0.9177438803803044,0.5783771210803684,0.3223145580501038,1.005989229409054,0.6302162656107219,0.5572740454325761,98.445847
2024,2024,baseline,loneliness,2796599087.0,2382.0,1733.0,1003.0,0.8517488298815282,0.6196812435703981,0.358649906117201,1.1193969793520357,0.7275398824517213,0.5787651471436814,98.764097
2025,2025,baseline,loneliness,2559426422.0,2043.0,1459.0,804.0,0.7982257205907676,0.570049596838928,0.3141328826994504,0.9804530658206895,0.7141458639255996,0.5510623714873201,98.639129
2026,2026,baseline,loneliness,2024899587.0,1676.0,1217.0,750.0,0.8276953636417528,0.6010174567732774,0.3703887367131948,1.1560355265429185,0.7261336515513126,0.6162695152013147,99.036609
2014,2014,baseline,sadness,3439497544.0,6887.0,4096.0,2353.0,2.002327349241451,1.190871616450266,0.6841115511492861,1.0,0.5947437200522724,0.574462890625,97.347595
2015,2015,baseline,sadness,3426098147.0,6398.0,3764.0,2140.0,1.867430448716798,1.0986258532307014,0.6246172491800481,0.9130342093050623,0.5883088465145357,0.5685441020191286,97.077497
2016,2016,baseline,sadness,5709595419.0,9698.0,5824.0,3687.0,1.6985441678980722,1.0200372482819522,0.6457550368158582,0.9439323685311406,0.6005361930294906,0.633070054945055,97.575085
2017,2017,baseline,sadness,4626728607.0,8281.0,3582.0,2161.0,1.789817537054427,0.774197128091892,0.4670686749878778,0.6827375947726901,0.4325564545344765,0.6032942490228922,97.200861
2018,2018,baseline,sadness,4316885807.0,6912.0,3850.0,2212.0,1.601154236878798,0.8918466163170389,0.5124064195566987,0.7490100389269438,0.5570023148148148,0.5745454545454546,97.506285
2019,2019,baseline,sadness,4091311736.0,6107.0,3900.0,2210.0,1.4926753066171146,0.9532395113487389,0.5401690564309519,0.7895920709473253,0.638611429507123,0.5666666666666667,96.059658
2020,2020,baseline,sadness,5383635819.0,8264.0,4725.0,2445.0,1.5350221073339656,0.8776596632566539,0.4541540479709035,0.6638596398612753,0.5717570183930301,0.5174603174603175,97.359794
2021,2021,baseline,sadness,4837622244.0,6497.0,4338.0,2357.0,1.3430151575100953,0.8967215258240407,0.4872228299601807,0.7121979290390017,0.6676927812836694,0.5433379437528815,98.121324
2022,2022,baseline,sadness,4017628393.0,5925.0,4063.0,2181.0,1.4747506290833805,1.0112931318085696,0.5428575733385405,0.7935220103016191,0.6857383966244726,0.536795471326606,98.307159
2023,2023,baseline,sadness,3577250767.0,4735.0,2930.0,1704.0,1.3236421789828636,0.8190647485575059,0.4763434578641604,0.6962950078301092,0.6187961985216474,0.5815699658703072,98.445847
2024,2024,baseline,sadness,2796599087.0,2752.0,1934.0,1271.0,0.984052384481094,0.6915542556636757,0.4544805889082377,0.6643369610478357,0.7027616279069767,0.6571871768355739,98.764097
2025,2025,baseline,sadness,2559426422.0,2303.0,1679.0,1069.0,0.8998109811652167,0.6560063557865389,0.4176717059772543,0.6105315796460078,0.7290490664350847,0.6366885050625373,98.639129
2026,2026,baseline,sadness,2024899587.0,1880.0,1323.0,932.0,0.9284411000277418,0.6533657315620758,0.4602697368222634,0.6727992475043355,0.7037234042553191,0.7044595616024187,99.036609
2014,2014,target,ADHD,3439497544.0,11737.0,4350.0,1460.0,3.4124170318058527,1.2647196121969375,0.4244806054729952,1.0,0.3706228167334072,0.335632183908046,97.347595
2015,2015,target,ADHD,3426098147.0,8954.0,3556.0,1058.0,2.61346862110194,1.0379153916281547,0.3088060979591079,0.7274916544538186,0.39714094259548804,0.297525309336333,97.077497
2016,2016,target,ADHD,5709595419.0,18361.0,5243.0,1686.0,3.2158145459658183,0.9182787247153632,0.2952923764772272,0.6956557559283195,0.2855508959207015,0.3215716193019264,97.575085
2017,2017,target,ADHD,4626728607.0,8500.0,4093.0,1299.0,1.8371511973146517,0.8846423353657492,0.2807599300366744,0.661419924530653,0.4815294117647059,0.3173711214268263,97.200861
2018,2018,target,ADHD,4316885807.0,8337.0,4642.0,1341.0,1.9312533091519877,1.0753122059594011,0.3106406006444543,0.7318134130022503,0.556795010195514,0.2888841016803102,97.506285
2019,2019,target,ADHD,4091311736.0,8219.0,5335.0,1922.0,2.008891165070586,1.3039827674475697,0.4697759848236604,1.10670777125422,0.6491057306241635,0.3602624179943767,96.059658
2020,2020,target,ADHD,5383635819.0,9459.0,5969.0,1758.0,1.7569910592052251,1.1087302708950195,0.3265451191545391,0.7692815995460442,0.631039221905064,0.2945216954263696,97.359794
2021,2021,target,ADHD,4837622244.0,8067.0,5269.0,1656.0,1.6675547599867535,1.0891714429614734,0.3423169310199658,0.8064371530909519,0.6531548283128796,0.3142911368381097,98.121324
2022,2022,target,ADHD,4017628393.0,7135.0,4642.0,1528.0,1.775923331394079,1.155408003410135,0.3803238753146675,0.8959746815543569,0.6505956552207428,0.3291684618698837,98.307159
2023,2023,target,ADHD,3577250767.0,6385.0,4052.0,1395.0,1.7848902455766809,1.1327134338413016,0.3899642744838637,0.9186857289965693,0.6346123727486296,0.344274432379072,98.445847
2024,2024,target,ADHD,2796599087.0,5404.0,3338.0,1062.0,1.9323470515028456,1.1935926087928386,0.3797469594182128,0.8946155714112402,0.6176905995558846,0.3181545835829838,98.764097
2025,2025,target,ADHD,2559426422.0,4885.0,3081.0,993.0,1.9086307611776308,1.2037853378072223,0.3879775528862615,0.9140053700544017,0.6307062436028659,0.3222979552093476,98.639129
2026,2026,target,ADHD,2024899587.0,4994.0,2815.0,944.0,2.4662951348609266,1.390192391796858,0.4661959566096746,1.0982738683436346,0.5636764116940328,0.3353463587921847,99.036609
2014,2014,target,Autism,3439497544.0,22105.0,10654.0,3924.0,6.426810810945589,3.0975454593899254,1.1408643122438584,1.0,0.4819724044333861,0.3683123709404918,97.347595
2015,2015,target,Autism,3426098147.0,18757.0,8787.0,3235.0,5.474741001341197,2.5647251254883563,0.9442228042511476,0.8276381284940404,0.46846510636029215,0.3681575054057129,97.077497
2016,2016,target,Autism,5709595419.0,33573.0,13729.0,4914.0,5.880101397075889,2.4045486575657486,0.8606564282378971,0.7543898244526145,0.4089297947755637,0.3579284725762983,97.575085
2017,2017,target,Autism,4626728607.0,18152.0,9204.0,3234.0,3.9232904157241832,1.9893105435393004,0.6989819967194804,0.6126775894538401,0.5070515645658881,0.3513689700130378,97.200861
2018,2018,target,Autism,4316885807.0,16145.0,9333.0,3298.0,3.739964576737297,2.161975187035565,0.7639766598996349,0.669647259275769,0.5780737070300402,0.3533697632058288,97.506285
2019,2019,target,Autism,4091311736.0,14933.0,9985.0,4181.0,3.649929646915568,2.4405375694402967,1.021921640243353,0.8957433669157656,0.6686533181544231,0.4187280921382073,96.059658
2020,2020,target,Autism,5383635819.0,18322.0,11178.0,3797.0,3.40327626459014,2.0762920033614556,0.7052854479122783,0.6182027436068351,0.6100862351271695,0.339685095723743,97.359794
2021,2021,target,Autism,4837622244.0,16992.0,10373.0,3650.0,3.512469379161388,2.1442352206945077,0.7545028974775816,0.6613432372107608,0.610463747645951,0.3518750602525788,98.121324
2022,2022,target,Autism,4017628393.0,14362.0,8648.0,2924.0,3.574745744286161,2.1525136608123328,0.7277925467408952,0.6379308555190658,0.6021445481130762,0.3381128584643848,98.307159
2023,2023,target,Autism,3577250767.0,12492.0,7232.0,2440.0,3.4920671805393733,2.0216642530948405,0.6820880499932813,0.5978695649193783,0.5789305155299391,0.3373893805309734,98.445847
2024,2024,target,Autism,2796599087.0,8927.0,5498.0,1904.0,3.192091437595467,1.965959305914627,0.680826940425873,0.5967641665351234,0.6158843956536351,0.3463077482720989,98.764097
2025,2025,target,Autism,2559426422.0,8617.0,5299.0,2060.0,3.366769962961647,2.0703857530154077,0.8048678337821739,0.7054895355602414,0.6149471974004874,0.388752594829213,98.639129
2026,2026,target,Autism,2024899587.0,6265.0,3960.0,1519.0,3.093980580677554,1.955652529845669,0.7501606547564573,0.6575371380326878,0.6320830007980845,0.3835858585858586,99.036609
