lsc_year,analysis_unit,frame_stratum,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag
2023,ADHD,substantive_core_overall,1208,752,8678,4416,4417,1176,0.5089882461396635,0.9735099337748344,False
2023,Autism,clinical_only,1092,678,8519,4494,4497,1084,0.5278788590210118,0.9926739926739927,False
2023,Autism,lived_only,687,470,5552,2716,2717,682,0.48937319884726227,0.992721979621543,False
2023,Autism,mixed,372,283,2976,1507,1508,369,0.5067204301075269,0.9919354838709677,False
2023,Autism,substantive_core_overall,2151,1286,17047,8717,8722,2135,0.5116442775854989,0.9925615992561599,False
2023,frustration,unframed_baseline,6377,5618,53137,25182,25185,6363,0.4739635282383273,0.9978046103183315,False
2023,loneliness,unframed_baseline,2588,1985,20934,10707,10708,2584,0.5115123722174453,0.9984544049459042,False
2023,sadness,unframed_baseline,2698,2288,21326,10202,10204,2694,0.47847697646065834,0.9985174203113417,False
2024,ADHD,clinical_only,704,457,4861,2615,2616,685,0.5381608722485085,0.9730113636363636,False
2024,ADHD,lived_only,313,227,2384,1147,1147,312,0.4811241610738255,0.9968051118210862,False
2024,ADHD,mixed,154,122,1162,572,572,151,0.49225473321858865,0.9805194805194806,False
2024,ADHD,substantive_core_overall,1171,729,8407,4334,4335,1148,0.5156417271321517,0.9803586678052946,False
2024,Autism,clinical_only,900,592,6948,3644,3647,895,0.5248992515831894,0.9944444444444445,False
2024,Autism,lived_only,651,454,5269,2616,2616,649,0.4964888973239704,0.9969278033794163,False
2024,Autism,mixed,315,229,2574,1332,1332,314,0.5174825174825175,0.9968253968253968,False
2024,Autism,substantive_core_overall,1866,1140,14791,7592,7595,1858,0.5134879318504496,0.9957127545551983,False
2024,frustration,unframed_baseline,6881,5957,57193,28107,28110,6871,0.4914937142657318,0.9985467228600494,False
2024,loneliness,unframed_baseline,2207,1733,17977,9254,9256,2203,0.5148801246036603,0.9981875849569551,False
2024,sadness,unframed_baseline,2341,1949,18322,8902,8902,2336,0.48586398864752756,0.9978641606151217,False
2025,ADHD,clinical_only,578,380,4040,2204,2204,554,0.5455445544554456,0.9584775086505191,False
2025,ADHD,lived_only,216,148,1633,812,812,211,0.4972443355786895,0.9768518518518519,False
2025,ADHD,mixed,110,92,813,435,435,108,0.5350553505535055,0.9818181818181818,False
2025,ADHD,substantive_core_overall,904,572,6486,3451,3451,873,0.5320690718470552,0.9657079646017699,False
2025,Autism,clinical_only,1044,634,8244,4396,4398,1044,0.5334788937409025,1.0,False
2025,Autism,lived_only,746,566,5333,2850,2851,744,0.5345959122445153,0.9973190348525469,False
2025,Autism,mixed,357,273,2887,1511,1511,357,0.5233806719778317,1.0,False
2025,Autism,substantive_core_overall,2147,1326,16464,8757,8760,2145,0.532069970845481,0.9990684676292502,False
2025,frustration,unframed_baseline,6928,5902,57053,29057,29061,6895,0.5093684819378472,0.9952367205542725,False
2025,loneliness,unframed_baseline,1993,1566,15700,8251,8251,1988,0.5255414012738854,0.997491219267436,False
2025,sadness,unframed_baseline,1921,1581,14872,7277,7279,1917,0.4894432490586337,0.9979177511712649,False
2026,ADHD,clinical_only,271,170,1986,1093,1093,268,0.5503524672708963,0.988929889298893,False
2026,ADHD,lived_only,109,76,846,446,446,109,0.5271867612293144,1.0,False
2026,ADHD,mixed,44,38,335,177,177,44,0.5283582089552239,1.0,True
2026,ADHD,substantive_core_overall,424,259,3167,1716,1716,421,0.5418377012946005,0.9929245283018868,False
2026,Autism,clinical_only,382,242,3049,1592,1592,380,0.5221384060347655,0.9947643979057592,False
2026,Autism,lived_only,250,170,2019,992,992,248,0.4913323427439326,0.992,False
2026,Autism,mixed,120,84,948,483,483,120,0.509493670886076,1.0,False
2026,Autism,substantive_core_overall,752,453,6016,3067,3067,748,0.5098071808510638,0.9946808510638298,False
2026,frustration,unframed_baseline,3851,3276,31823,16865,16866,3849,0.5299940294755365,0.9994806543754868,False
2026,loneliness,unframed_baseline,719,573,5785,3213,3213,719,0.5554019014693172,1.0,False
2026,sadness,unframed_baseline,657,550,5145,2543,2543,657,0.4942662779397473,1.0,False
