lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_warriner_mean,valence_warriner_sd,valence_scaled_mean,valence_scaled_sd,arousal_warriner_mean_for_reuse,arousal_scaled_mean_for_reuse,dominance_warriner_mean_for_reuse,matched_warriner_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_warriner_bootstrap_mean,valence_warriner_ci_low,valence_warriner_ci_high,valence_scaled_bootstrap_mean,valence_scaled_ci_low,valence_scaled_ci_high
2016,ADHD,mixed,target,ADHD,5.430371681415929,1.3824889364766446,0.5537964601769911,0.17281111705958058,4.198064896755162,0.3997581120943953,5.418864306784661,565,317,137,182,142,700,565,565,176,0.8071428571428572,0.967032967032967,False,500,doc_id,5.426503764030478,5.2962177897036185,5.544914962687634,0.5533129705038098,0.5370272237129523,0.5681143703359541
2017,ADHD,mixed,target,ADHD,5.406983050847457,1.4347166741890576,0.5508728813559322,0.1793395842736322,4.244059322033898,0.4055074152542373,5.428550847457627,590,304,151,187,153,714,590,591,183,0.8277310924369747,0.9786096256684492,False,500,doc_id,5.40983060138499,5.275003904036506,5.531233111540239,0.5512288251731238,0.5343754880045634,0.5664041389425298
2018,ADHD,mixed,target,ADHD,5.209856630824373,1.4930483069589084,0.5262320788530466,0.18663103836986358,4.236146953405018,0.4045183691756272,5.277338709677419,558,288,150,182,152,670,558,558,179,0.8328358208955224,0.9835164835164835,False,500,doc_id,5.207928624820499,5.0215992741066335,5.380801019503546,0.5259910781025624,0.5026999092633292,0.5476001274379433
2019,ADHD,mixed,target,ADHD,5.333772763262075,1.4934265262294675,0.5417215954077593,0.18667831577868343,4.179683293745052,0.39746041171813146,5.303052256532067,421,229,117,142,120,504,421,421,137,0.8353174603174603,0.9647887323943662,False,500,doc_id,5.3409013754467995,5.172790375737673,5.501350185590244,0.5426126719308499,0.5215987969672092,0.5626687731987804
2020,ADHD,mixed,target,ADHD,5.405491192411924,1.422934348578952,0.5506863990514905,0.177866793572369,4.18345189701897,0.3979314871273713,5.368536585365854,492,265,124,156,130,601,492,492,150,0.8186356073211315,0.9615384615384616,False,500,doc_id,5.410798291255873,5.260981670362158,5.548888397716325,0.5513497864069843,0.5326227087952697,0.5686110497145405
2021,ADHD,mixed,target,ADHD,5.282414330218068,1.4772751244303688,0.5353017912772585,0.1846593905537961,4.216068535825546,0.40200856697819315,5.291881619937695,535,287,146,180,150,690,535,535,173,0.7753623188405797,0.9611111111111111,False,500,doc_id,5.280119814054402,5.141563640215149,5.41999773139746,0.5350149767568002,0.5176954550268936,0.5524997164246824
2022,ADHD,mixed,target,ADHD,5.490290827740492,1.3504805380744231,0.5612863534675615,0.1688100672593029,4.1241470917225955,0.3905183864653244,5.470612416107382,596,327,149,193,152,717,596,596,188,0.8312412831241283,0.9740932642487047,False,500,doc_id,5.491480535882089,5.362394908399674,5.6075750599755425,0.5614350669852611,0.5452993635499592,0.5759468824969428
2023,ADHD,mixed,target,ADHD,5.496713900134952,1.4076632077939433,0.562089237516869,0.1759579009742429,4.1873650472334685,0.39842063090418356,5.439635627530364,494,287,119,159,122,614,494,494,153,0.8045602605863192,0.9622641509433962,False,500,doc_id,5.493738428856408,5.355594867908995,5.622755326135992,0.561717303607051,0.5444493584886244,0.577844415766999
2024,ADHD,mixed,target,ADHD,5.5283043478260865,1.3220863148073778,0.5660380434782608,0.16526078935092223,4.1605108695652175,0.3950638586956522,5.417956521739131,460,269,118,154,122,596,460,460,149,0.7718120805369127,0.9675324675324676,False,500,doc_id,5.523106841151011,5.379554619893098,5.669136483202721,0.5653883551438764,0.5474443274866373,0.5836420604003402
2025,ADHD,mixed,target,ADHD,5.355060185185185,1.3850737184680122,0.5443825231481482,0.17313421480850152,4.087138888888888,0.3858923611111111,5.452814814814815,360,240,90,110,92,454,360,360,108,0.7929515418502202,0.9818181818181818,False,500,doc_id,5.350453466563973,5.200075231124807,5.51075235742972,0.5438066833204966,0.5250094038906009,0.5638440446787149
