analysis_unit,frame_stratum,collocate,occurrences,documents,valence_warriner_mean,valence_scaled_mean,arousal_warriner_mean,source_terms,unit_frame_occurrences,collocate_share
ADHD,clinical_only,other,391,375,5.41,0.55125,3.48,other,45233,0.008644131496915968
ADHD,clinical_only,diagnosis,363,330,4.62,0.45249999999999996,4.0,diagnosis,45233,0.008025114407622753
ADHD,clinical_only,learn,355,331,6.85,0.73125,4.8,learn,45233,0.007848252382110406
ADHD,clinical_only,may,349,325,5.55,0.56875,3.19,may,45233,0.007715605862976146
ADHD,clinical_only,disability,326,300,2.95,0.24375000000000002,3.8999999999999995,disability,45233,0.0072071275396281475
ADHD,clinical_only,people,313,287,5.7,0.5875,3.77,people,45233,0.006919726748170584
ADHD,lived_only,be,982,818,6.18,0.6475,3.43,be,13375,0.07342056074766355
ADHD,lived_only,have,875,750,5.86,0.6075,3.52,have,13375,0.06542056074766354
ADHD,lived_only,autism,403,367,3.2,0.275,4.1,autism,13375,0.030130841121495326
ADHD,lived_only,child,326,273,7.200000000000001,0.775,5.33,child,13375,0.024373831775700936
ADHD,lived_only,add,190,168,6.23,0.65375,4.0,add,13375,0.014205607476635514
ADHD,lived_only,diagnose,181,175,5.0,0.5,3.72,diagnose,13375,0.013532710280373832
ADHD,lived_only,can,178,168,6.41,0.67625,3.1400000000000006,can,13375,0.013308411214953271
ADHD,lived_only,like,160,146,7.44,0.805,4.4,like,13375,0.011962616822429906
ADHD,lived_only,people,143,128,5.7,0.5875,3.77,people,13375,0.01069158878504673
ADHD,lived_only,other,132,129,5.41,0.55125,3.48,other,13375,0.009869158878504673
ADHD,lived_only,adult,127,99,5.9,0.6125,4.36,adult,13375,0.009495327102803739
ADHD,lived_only,do,126,119,5.41,0.55125,3.67,do,13375,0.00942056074766355
ADHD,lived_only,help,124,113,6.95,0.74375,4.29,help,13375,0.009271028037383177
ADHD,lived_only,learn,122,113,6.85,0.73125,4.8,learn,13375,0.009121495327102803
ADHD,lived_only,anxiety,118,116,2.38,0.1725,4.78,anxiety,13375,0.008822429906542056
ADHD,lived_only,kid,113,107,7.23,0.77875,4.71,kid,13375,0.00844859813084112
ADHD,lived_only,disorder,108,99,3.76,0.345,4.9,disorder,13375,0.008074766355140187
ADHD,lived_only,student,101,82,6.409999999999999,0.6762499999999999,4.25,student,13375,0.007551401869158879
ADHD,lived_only,autistic,91,81,3.62,0.3275,4.24,autistic,13375,0.006803738317757009
ADHD,lived_only,disability,91,80,2.9499999999999997,0.24375000000000002,3.9,disability,13375,0.006803738317757009
ADHD,lived_only,parent,89,78,6.73,0.71625,4.14,parent,13375,0.006654205607476636
ADHD,lived_only,diagnosis,82,79,4.62,0.45250000000000007,4.0,diagnosis,13375,0.006130841121495327
ADHD,lived_only,challenge,78,68,5.95,0.61875,5.25,challenge,13375,0.0058317757009345795
ADHD,lived_only,make,74,71,6.09,0.63625,3.67,make,13375,0.0055327102803738315
ADHD,lived_only,know,70,65,6.82,0.7275,3.24,know,13375,0.005233644859813084
ADHD,mixed,be,579,480,6.18,0.6475,3.43,be,7660,0.07558746736292428
ADHD,mixed,have,329,291,5.86,0.6075,3.5199999999999996,have,7660,0.04295039164490862
ADHD,mixed,child,220,190,7.2,0.775,5.329999999999999,child,7660,0.028720626631853787
ADHD,mixed,autism,202,192,3.2000000000000006,0.275,4.1,autism,7660,0.02637075718015666
ADHD,mixed,diagnose,125,121,5.0,0.5,3.72,diagnose,7660,0.016318537859007835
ADHD,mixed,symptom,121,112,3.33,0.29125,4.17,symptom,7660,0.015796344647519583
ADHD,mixed,add,113,104,6.23,0.65375,4.0,add,7660,0.014751958224543081
ADHD,mixed,disorder,108,100,3.76,0.345,4.9,disorder,7660,0.014099216710182768
ADHD,mixed,adult,90,77,5.9,0.6125,4.36,adult,7660,0.01174934725848564
ADHD,mixed,can,82,75,6.41,0.67625,3.14,can,7660,0.010704960835509139
ADHD,mixed,anxiety,75,73,2.38,0.1725,4.78,anxiety,7660,0.0097911227154047
ADHD,mixed,people,74,68,5.7,0.5875,3.7700000000000005,people,7660,0.009660574412532636
ADHD,mixed,learn,66,64,6.85,0.73125,4.8,learn,7660,0.008616187989556136
ADHD,mixed,like,60,58,7.44,0.805,4.4,like,7660,0.007832898172323759
ADHD,mixed,medication,57,55,3.65,0.33125,4.56,medication,7660,0.0074412532637075715
ADHD,mixed,kid,55,49,7.23,0.77875,4.71,kid,7660,0.007180156657963447
ADHD,mixed,other,55,53,5.41,0.55125,3.48,other,7660,0.007180156657963447
ADHD,mixed,depression,52,52,2.44,0.18,5.200000000000001,depression,7660,0.006788511749347258
ADHD,mixed,help,51,51,6.95,0.74375,4.29,help,7660,0.006657963446475196
ADHD,mixed,do,48,46,5.41,0.55125,3.67,do,7660,0.006266318537859008
ADHD,mixed,include,48,46,6.39,0.67375,3.0499999999999994,include,7660,0.006266318537859008
ADHD,mixed,student,46,42,6.41,0.67625,4.25,student,7660,0.0060052219321148825
ADHD,mixed,diagnosis,44,43,4.62,0.4525,4.0,diagnosis,7660,0.005744125326370757
ADHD,mixed,disability,41,40,2.95,0.24375000000000002,3.9000000000000004,disability,7660,0.005352480417754569
ADHD,mixed,parent,40,38,6.730000000000001,0.71625,4.14,parent,7660,0.005221932114882507
ADHD,substantive_core_overall,be,4577,3488,6.18,0.6475,3.43,be,66268,0.0690680268002656
