analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,rank,word,occurrences_in_high_distance_contexts,high_distance_contexts_with_word,high_distance_documents_with_word,high_distance_contexts_used,context_share,mean_context_avg_distance
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,9,peeps,2,2,1,20,0.1,0.5203432627997406
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,10,point,2,2,2,20,0.1,0.6143391219677332
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,1,world,6,6,6,20,0.3,0.5551336052431876
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,2,day,5,5,5,20,0.25,0.5638972952025803
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,3,feel,5,5,5,20,0.25,0.5638972952025803
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,4,high,5,5,5,20,0.25,0.5557388055797088
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,5,thing,5,5,5,20,0.25,0.5673403675053554
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,6,finance,8,4,4,20,0.2,0.5669335857355944
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,7,attempt,4,4,4,20,0.2,0.5669335857355944
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,8,consistently,4,4,4,20,0.2,0.5669335857355944
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,9,edition,4,4,4,20,0.2,0.5669335857355944
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,10,emphatically,4,4,4,20,0.2,0.5669335857355944
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,1,lead,3,3,3,20,0.15,0.4935835081446734
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,2,research,3,3,3,20,0.15,0.4935835081446734
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,3,fact,3,2,2,20,0.1,0.47879734995847484
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,4,know,3,2,2,20,0.1,0.4709295192405678
