analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,valence,weighted_valence_contribution,valence_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_valence_mean
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,negative,5,anxiety,unigram,anxiety,False,False,24,24,-0.7079999999999999,-16.991999999999997,-0.005022760863139224,0.007094295004433935,3383,890,0.12911171543994482
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,positive,1,child,unigram,child,False,False,116,96,0.7689999999999999,89.204,0.026368312148980194,0.034289092521430684,3383,890,0.12911171543994482
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,positive,2,adult,unigram,adult,False,False,44,32,0.63,27.72,0.008193910730121193,0.01300620750812888,3383,890,0.12911171543994482
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,positive,3,parent,unigram,parent,False,False,44,38,0.624,27.456,0.00811587348507242,0.01300620750812888,3383,890,0.12911171543994482
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,positive,4,kid,unigram,kid,False,False,47,47,0.4793333333333334,22.52866666666667,0.00665937530791211,0.013892994383683122,3383,890,0.12911171543994482
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,positive,5,add,unigram,add,True,False,76,65,0.29000000000000004,22.040000000000003,0.006514927579071831,0.022465267514040793,3383,890,0.12911171543994482
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,negative,1,autism,unigram,autism,False,True,128,124,-0.53,-67.84,-0.019045480067377878,0.035934868051656375,3562,900,0.13111915122590306
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,negative,2,anxiety,unigram,anxiety,False,False,51,51,-0.708,-36.108,-0.01013700168444694,0.014317798989331837,3562,900,0.13111915122590306
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,negative,3,dyslexia,unigram,dyslexia,False,False,48,48,-0.6670000000000001,-32.016000000000005,-0.008988208871420551,0.01347557551937114,3562,900,0.13111915122590306
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,negative,4,diagnose,unigram,diagnose,False,False,63,62,-0.4555,-28.6965,-0.00805628860190904,0.01768669286917462,3562,900,0.13111915122590306
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,negative,5,depression,unigram,depression,False,False,26,26,-0.938,-24.387999999999998,-0.0068467153284671525,0.0072992700729927005,3562,900,0.13111915122590306
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,positive,1,child,unigram,child,False,False,121,108,0.7689999999999999,93.04899999999999,0.026122683885457607,0.03396967995508141,3562,900,0.13111915122590306
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,positive,2,adult,unigram,adult,False,False,42,35,0.63,26.46,0.007428411005053341,0.011791128579449747,3562,900,0.13111915122590306
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,positive,3,add,unigram,add,True,False,83,73,0.29000000000000004,24.070000000000004,0.006757439640651321,0.02330151600224593,3562,900,0.13111915122590306
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,positive,4,learn,unigram,learn,False,False,35,33,0.58975,20.64125,0.005794848399775407,0.009825940482874789,3562,900,0.13111915122590306
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,positive,5,life,unigram,life,False,False,23,22,0.836,19.227999999999998,0.005398090960134755,0.006457046603032005,3562,900,0.13111915122590306
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,negative,1,autism,unigram,autism,False,True,189,161,-0.53,-100.17,-0.024330823415108088,0.045907213990769975,4117,906,0.14374445793862844
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,negative,2,dyslexia,unigram,dyslexia,False,False,88,83,-0.667,-58.696000000000005,-0.014256983240223465,0.021374787466601895,4117,906,0.14374445793862844
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,negative,3,diagnose,unigram,diagnose,False,False,61,58,-0.4555,-27.785500000000003,-0.006748967694923488,0.01481661403934904,4117,906,0.14374445793862844
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,negative,4,disorder,unigram,disorder,False,False,34,31,-0.675,-22.950000000000003,-0.0055744474131649265,0.008258440612096187,4117,906,0.14374445793862844
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,negative,5,anxiety,unigram,anxiety,False,False,32,30,-0.708,-22.656,-0.005503036191401506,0.007772649987855235,4117,906,0.14374445793862844
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,positive,1,child,unigram,child,False,False,73,55,0.7689999999999999,56.13699999999999,0.013635414136507163,0.017731357784794753,4117,906,0.14374445793862844
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,positive,2,adult,unigram,adult,False,False,39,31,0.63,24.57,0.005967937818800098,0.009472917172698566,4117,906,0.14374445793862844
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,positive,3,parent,unigram,parent,False,False,29,25,0.624,18.096,0.004395433568132135,0.007043964051493806,4117,906,0.14374445793862844
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,positive,4,kid,unigram,kid,False,False,35,34,0.47933333333333333,16.776666666666667,0.004074973686341187,0.008501335924216662,4117,906,0.14374445793862844
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,positive,5,help,unigram,help,False,False,47,41,0.34600000000000003,16.262,0.003949963565703182,0.011416079669662375,4117,906,0.14374445793862844
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,1,disorder,unigram,disorder,False,False,2686,2101,-0.675,-1813.0500000000002,-0.029993548173636846,0.0444348861831657,60448,10059,0.13746612350008824
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,2,disability,unigram,disability,False,False,514,458,-0.854,-438.956,-0.007261712546320805,0.008503176283748014,60448,10059,0.13746612350008824
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,3,diagnose,unigram,diagnose,False,False,511,476,-0.4555,-232.7605,-0.0038505905902593966,0.008453546850185283,60448,10059,0.13746612350008824
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,4,spectrum,unigram,spectrum,True,False,515,457,-0.376,-193.64,-0.0032034145050291157,0.008519719428268926,60448,10059,0.13746612350008824
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,5,adhd,unigram,adhd,False,True,392,364,-0.48400000000000004,-189.728,-0.003138697723663314,0.00648491265219693,60448,10059,0.13746612350008824
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,1,child,unigram,child,False,False,2716,2192,0.7689999999999999,2088.604,0.034552077818951824,0.04493118051879301,60448,10059,0.13746612350008824
