analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,arousal,weighted_arousal_contribution,arousal_contribution_to_cell_mean,match_share,total_matches_for_cell,total_documents_for_cell,arousal_mean_for_cell
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,5,suffer,unigram,False,False,66,65,0.629,41.514,0.002658938064433485,0.004227246525331454,15613,3073,0.02894162877089605
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_lowering,1,add,unigram,True,False,380,293,-0.105,-39.9,-0.002875261223607408,0.027383440224832457,13877,2742,0.03664666954913406
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_lowering,2,sleep,unigram,False,False,48,39,-0.8063333333333333,-38.704,-0.002789075448583988,0.0034589608705051524,13877,2742,0.03664666954913406
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_lowering,3,narcolepsy,unigram,False,False,37,35,-1.0,-37.0,-0.002666282337681055,0.002666282337681055,13877,2742,0.03664666954913406
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_lowering,4,treatment,unigram,False,False,149,130,-0.228,-33.972,-0.0024480795561000216,0.01073719103552641,13877,2742,0.03664666954913406
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_lowering,5,patient,unigram,False,False,54,52,-0.614,-33.156,-0.0023892772213014338,0.0038913309793182963,13877,2742,0.03664666954913406
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_raising,1,disorder,unigram,False,False,337,294,0.53,178.61,0.012870937522519277,0.024284787778338257,13877,2742,0.03664666954913406
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_raising,2,anxiety,unigram,False,False,227,222,0.73,165.71,0.011941341788571017,0.016358002450097282,13877,2742,0.03664666954913406
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_raising,3,hyperactivity,unigram,True,False,78,71,1.0,78.0,0.005620811414570872,0.005620811414570872,13877,2742,0.03664666954913406
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_raising,4,suffer,unigram,False,False,73,71,0.629,45.917,0.0033088563810621894,0.005260502990559919,13877,2742,0.03664666954913406
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,arousal_raising,5,issue,unigram,False,False,75,70,0.5900000000000001,44.25000000000001,0.003188729552496938,0.0054046263601643,13877,2742,0.03664666954913406
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_lowering,1,treatment,unigram,False,False,140,114,-0.228,-31.92,-0.002829285587661762,0.012409147314305974,11282,2088,0.02974434645157478
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_lowering,2,common,unigram,False,False,40,37,-0.746,-29.84,-0.0026449211132777875,0.003545470661230278,11282,2088,0.02974434645157478
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_lowering,3,individual,unigram,False,False,83,78,-0.346,-28.717999999999996,-0.002545470661230278,0.007356851622052828,11282,2088,0.02974434645157478
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_lowering,4,patient,unigram,False,False,44,40,-0.614,-27.016,-0.00239461088459493,0.003900017727353306,11282,2088,0.02974434645157478
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_lowering,5,sleep,unigram,False,False,31,26,-0.8063333333333333,-24.996333333333332,-0.0022155941617916443,0.0027477397624534657,11282,2088,0.02974434645157478
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_raising,1,anxiety,unigram,False,False,208,193,0.73,151.84,0.013458606630030137,0.01843644743839745,11282,2088,0.02974434645157478
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_raising,2,disorder,unigram,False,False,230,208,0.53,121.9,0.010804821840099274,0.0203864563020741,11282,2088,0.02974434645157478
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_raising,3,hyperactivity,unigram,True,False,46,44,1.0,46.0,0.00407729126041482,0.00407729126041482,11282,2088,0.02974434645157478
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_raising,4,issue,unigram,False,False,63,61,0.5900000000000001,37.17,0.0032946286119482364,0.005584116291437688,11282,2088,0.02974434645157478
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,arousal_raising,5,struggle,unigram,False,False,39,37,0.7575000000000001,29.542500000000004,0.0026185516752348877,0.0034568338946995214,11282,2088,0.02974434645157478
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_lowering,1,parent,unigram,False,False,44,38,-0.286,-12.584,-0.0036655986018060004,0.012816778327993009,3433,893,-0.007468831925429652
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_lowering,2,student,unigram,False,False,24,20,-0.36400000000000005,-8.736,-0.002544713078939703,0.006990969997087096,3433,893,-0.007468831925429652
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_lowering,3,add,unigram,True,False,81,70,-0.10499999999999998,-8.504999999999999,-0.0024774249927177394,0.02359452374016895,3433,893,-0.007468831925429652
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_lowering,4,son,unigram,False,False,29,28,-0.27,-7.83,-0.002280803961549665,0.008447422079813574,3433,893,-0.007468831925429652
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_lowering,5,read,unigram,False,False,14,11,-0.534,-7.476000000000001,-0.0021776871540926308,0.00407806583163414,3433,893,-0.007468831925429652
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_raising,1,anxiety,unigram,False,False,24,24,0.73,17.52,0.00510340809787358,0.006990969997087096,3433,893,-0.007468831925429652
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_raising,2,suffer,unigram,False,False,23,23,0.629,14.467,0.004214098456160793,0.0066996795805418004,3433,893,-0.007468831925429652
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_raising,3,struggle,unigram,False,False,16,16,0.7575000000000001,12.120000000000001,0.003530439848528984,0.00466064666472473,3433,893,-0.007468831925429652
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_raising,4,disorder,unigram,False,False,22,21,0.53,11.66,0.0033964462569181474,0.006408389163996504,3433,893,-0.007468831925429652
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,arousal_raising,5,challenge,unigram,False,False,15,13,0.7555000000000001,11.332500000000001,0.0033010486454995635,0.004369356248179435,3433,893,-0.007468831925429652
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_lowering,1,student,unigram,False,False,48,38,-0.36400000000000005,-17.472,-0.0048318584070796465,0.01327433628318584,3616,901,0.005504507743362833
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_lowering,2,add,unigram,True,False,85,75,-0.10499999999999998,-8.924999999999999,-0.002468196902654867,0.02350663716814159,3616,901,0.005504507743362833
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_lowering,3,dyslexia,unigram,False,False,48,48,-0.167,-8.016,-0.0022168141592920354,0.01327433628318584,3616,901,0.005504507743362833
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_lowering,4,autistic,unigram,False,True,20,18,-0.326,-6.5200000000000005,-0.0018030973451327436,0.0055309734513274336,3616,901,0.005504507743362833
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_lowering,5,people,unigram,False,False,40,35,-0.15000000000000002,-6.000000000000001,-0.0016592920353982303,0.011061946902654867,3616,901,0.005504507743362833
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_raising,1,anxiety,unigram,False,False,51,51,0.73,37.23,0.010295907079646017,0.014103982300884955,3616,901,0.005504507743362833
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_raising,2,challenge,unigram,False,False,29,24,0.7555000000000001,21.9095,0.006059043141592921,0.008019911504424779,3616,901,0.005504507743362833
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_raising,3,disorder,unigram,False,False,30,29,0.53,15.9,0.0043971238938053095,0.008296460176991151,3616,901,0.005504507743362833
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_raising,4,struggle,unigram,False,False,18,17,0.7575000000000001,13.635000000000002,0.003770741150442478,0.00497787610619469,3616,901,0.005504507743362833
